municipio,departamento,email
Puerto Santander,Amazonas,alcaldia@puertosantander.gov.co
Mapiripana,Guainía,alcaldia@mapiripana.gov.co
Morichal,Guainía,alcaldia@morichal.gov.co
Medellín,Antioquia,alcaldia@medellin.gov.co
Abejorral,Antioquia,alcaldia@abejorral.gov.co
Alejandría,Antioquia,alcaldia@alejandria.gov.co
Corinto,Cauca,alcaldia@corinto.gov.co
Mercaderes,Cauca,alcaldia@mercaderes.gov.co
Piendamó,Cauca,alcaldia@piendamo.gov.co
Timbiquí,Cauca,alcaldia@timbiqui.gov.co
Toribio,Cauca,alcaldia@toribio.gov.co
Villa Rica,Cauca,alcaldia@villarica.gov.co
San Juan del Cesar,La Guajira,alcaldia@sanjuandelcesar.gov.co
Angostura,Antioquia,alcaldia@angostura.gov.co
Arboletes,Antioquia,alcaldia@arboletes.gov.co
Argelia,Antioquia,alcaldia@argelia.gov.co
Armenia,Antioquia,alcaldia@armenia.gov.co
Barbosa,Antioquia,alcaldia@barbosa.gov.co
Nariño,Antioquia,alcaldia@narino.gov.co
Necoclí,Antioquia,alcaldia@necocli.gov.co
Pueblorrico,Antioquia,alcaldia@pueblorrico.gov.co
Puerto Nare,Antioquia,alcaldia@puertonare.gov.co
Sabanalarga,Antioquia,alcaldia@sabanalarga.gov.co
Sabaneta,Antioquia,alcaldia@sabaneta.gov.co
San Andrés de Cuerquía,Antioquia,alcaldia@sanandresdecuerquia.gov.co
San Carlos,Antioquia,alcaldia@sancarlos.gov.co
San Francisco,Antioquia,alcaldia@sanfrancisco.gov.co
San Jerónimo,Antioquia,alcaldia@sanjeronimo.gov.co
San José de La Montaña,Antioquia,alcaldia@sanjosedelamontana.gov.co
San Juan de Urabá,Antioquia,alcaldia@sanjuandeuraba.gov.co
San Luis,Antioquia,alcaldia@sanluis.gov.co
San Pedro de Uraba,Antioquia,alcaldia@sanpedrodeuraba.gov.co
San Rafael,Antioquia,alcaldia@sanrafael.gov.co
San Roque,Antioquia,alcaldia@sanroque.gov.co
San Vicente,Antioquia,alcaldia@sanvicente.gov.co
Santa Bárbara,Antioquia,alcaldia@santabarbara.gov.co
Santa Rosa de Osos,Antioquia,alcaldia@santarosadeosos.gov.co
Santo Domingo,Antioquia,alcaldia@santodomingo.gov.co
El Santuario,Antioquia,alcaldia@elsantuario.gov.co
Segovia,Antioquia,alcaldia@segovia.gov.co
Sonson,Antioquia,alcaldia@sonson.gov.co
Sopetrán,Antioquia,alcaldia@sopetran.gov.co
Támesis,Antioquia,alcaldia@tamesis.gov.co
Tarazá,Antioquia,alcaldia@taraza.gov.co
Tarso,Antioquia,alcaldia@tarso.gov.co
Titiribí,Antioquia,alcaldia@titiribi.gov.co
Toledo,Antioquia,alcaldia@toledo.gov.co
Turbo,Antioquia,alcaldia@turbo.gov.co
Uramita,Antioquia,alcaldia@uramita.gov.co
Galapa,Atlántico,alcaldia@galapa.gov.co
