codigo_dane,departamento,municipio,festival,fecha,descripcion_festival,significado_festival,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3
08001,Atlántico,Barranquilla,Carnaval de Barranquilla,2026-02-14,,,,,,,,,,,,,,
11001,Cundinamarca,Bogotá D.C.,Festival de Verano,2026-08-01,,,,,,,,,,,,,,
11001,Cundinamarca,Bogotá D.C.,Festival Iberoamericano de Teatro,2026-03-20,,,,,,,,,,,,,,
13001,Bolívar,Cartagena,Fiestas de la Independencia de Cartagena,2026-11-11,,,,,,,,,,,,,,
05001,Antioquia,Medellín,Feria de las Flores,2026-08-01,,,,,,,,,,,,,,
05001,Antioquia,Medellín,Alumbrados Navideños,2026-12-07,,,,,,,,,,,,,,
76001,Valle Del Cauca,Cali,Feria de Cali,2026-12-25,,,,,,,,,,,,,,
68001,Santander,Bucaramanga,Feria Bonita,2026-09-10,,,,,,,,,,,,,,
17001,Caldas,Manizales,Feria de Manizales,2026-01-05,,,,,,,,,,,,,,
23001,Córdoba,Montería,Feria Nacional de la Ganadería,2026-06-15,,,,,,,,,,,,,,
20001,Cesar,Valledupar,Festival de la Leyenda Vallenata,2026-04-29,,,,,,,,,,,,,,
73001,Tolima,Ibagué,Festival Folclórico Colombiano,2026-06-20,,,,,,,,,,,,,,
54001,Norte De Santander,Cúcuta,Feria de Cúcuta,2026-07-15,,,,,,,,,,,,,,
66001,Risaralda,Pereira,Fiestas de la Cosecha,2026-08-15,,,,,,,,,,,,,,
15001,Boyacá,Tunja,Aguinaldo Boyacense,2026-12-16,,,,,,,,,,,,,,
19001,Cauca,Popayán,Semana Santa de Popayán,2026-03-29,,,,,,,,,,,,,,
27001,Chocó,Quibdó,Fiestas de San Pacho,2026-09-20,,,,,,,,,,,,,,
41001,Huila,Neiva,Festival del Bambuco,2026-06-15,,,,,,,,,,,,,,
63001,Quindio,Armenia,Fiestas Aniversarias de Armenia,2026-10-14,,,,,,,,,,,,,,
88001,San Andrés y Providencia,San Andrés,Festival del Cangrejo,2026-01-01,,,,,,,,,,,,,,
08001,Atlántico,Barranquilla,Batalla de Flores,2026-02-14,,,,,,,,,,,,,,
08001,Atlántico,Barranquilla,Gran Parada de Tradición,2026-02-15,,,,,,,,,,,,,,
08001,Atlántico,Barranquilla,Gran Parada de Comparsas,2026-02-16,,,,,,,,,,,,,,
11001,Cundinamarca,Bogotá D.C.,Rock al Parque,2026-07-04,,,,,,,,,,,,,,
11001,Cundinamarca,Bogotá D.C.,Jazz al Parque,2026-09-12,,,,,,,,,,,,,,
11001,Cundinamarca,Bogotá D.C.,Hip Hop al Parque,2026-10-10,,,,,,,,,,,,,,
05001,Antioquia,Medellín,Desfile de Silleteros,2026-08-09,,,,,,,,,,,,,,
05001,Antioquia,Medellín,Festival Internacional de Tango,2026-06-20,,,,,,,,,,,,,,
05001,Antioquia,Medellín,Colombiamoda,2026-07-28,,,,,,,,,,,,,,
76001,Valle Del Cauca,Cali,Salsódromo,2026-12-25,,,,,,,,,,,,,,
76001,Valle Del Cauca,Cali,Superconcierto de Cali,2026-12-27,,,,,,,,,,,,,,
68001,Santander,Bucaramanga,Festival de Colonias,2026-09-12,,,,,,,,,,,,,,
17001,Caldas,Manizales,Reinado Internacional del Café,2026-01-06,,,,,,,,,,,,,,
23001,Córdoba,Montería,Cabalgata de la Feria Ganadera,2026-06-16,,,,,,,,,,,,,,
20001,Cesar,Valledupar,Desfile de Piloneras,2026-04-29,,,,,,,,,,,,,,
73001,Tolima,Ibagué,Reinado Nacional del Folclor,2026-06-24,,,,,,,,,,,,,,
66001,Risaralda,Pereira,Desfile de Jeep Willys,2026-08-20,,,,,,,,,,,,,,
15001,Boyacá,Tunja,Desfile de Carrozas Aguinaldo Boyacense,2026-12-20,,,,,,,,,,,,,,
19001,Cauca,Popayán,Procesión del Viernes Santo,2026-04-03,,,,,,,,,,,,,,
27001,Chocó,Quibdó,Desfile de Comparsas San Pacho,2026-09-25,,,,,,,,,,,,,,
41001,Huila,Neiva,Desfile Nacional del Bambuco,2026-06-25,,,,,,,,,,,,,,
63001,Quindio,Armenia,Reinado Departamental del Café,2026-10-16,,,,,,,,,,,,,,
88001,San Andrés y Providencia,San Andrés,Elección de la Reina del Coco,2026-01-05,,,,,,,,,,,,,,
05002,Antioquia,Abejorral,Fiestas de la Virgen de la Candelaria,2026-02-02,,,,,,,,,,,,,,
05004,Antioquia,Abriaquí,Fiestas de San Pedro,2026-06-29,,,,,,,,,,,,,,
05021,Antioquia,Alejandría,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,,
05030,Antioquia,Amagá,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,,
05031,Antioquia,Amalfi,Fiestas del Tigre,2026-08-15,,,,,,,,,,,,,,
05034,Antioquia,Andes,Fiestas Katías,2026-08-10,,,,,,,,,,,,,,
05036,Antioquia,Angelópolis,Fiestas de San José,2026-03-19,,,,,,,,,,,,,,
05038,Antioquia,Angostura,Fiestas de San José,2026-03-19,,,,,,,,,,,,,,
05040,Antioquia,Anorí,Fiestas de San Isidro Labrador,2026-05-15,,,,,,,,,,,,,,
05042,Antioquia,Antioquia (Santa Fe),Fiestas de los Diablitos,2026-12-22,,,,,,,,,,,,,,
05044,Antioquia,Anza,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,,
05045,Antioquia,Apartadó,Fiestas del Banano,2026-11-10,,,,,,,,,,,,,,
05051,Antioquia,Arboletes,Fiestas del Mar y del Volcán,2026-07-05,,,,,,,,,,,,,,
05055,Antioquia,Argelia,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,,
