codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,gentilicio,bandera_url,alcalde,correo_alcalde
08001,Atlántico,Barranquilla,,,,,,,ALEJANDRO CHAR CHALJUB,alcalde@alcaldiabarranquilla.gov.co
11001,Cundinamarca,Bogotá D.C.,,,,,,,,
13001,Bolívar,Cartagena,,,,,,,DUMEK JOSÉ TURBAY PAZ,alcalde@cartagena.gov.co
05001,Antioquia,Medellín,,,,,,,FEDERICO ANDRÉS GUTIÉRREZ ZULUAGA,atencion.ciudadana@medellin.gov.co
76001,Valle Del Cauca,Cali,,,,,,,ÁLVARO ALEJANDRO EDER GARCES,alcalde@cali.gov.co
68001,Santander,Bucaramanga,,,,,,,JAIME ANDRÉS BELTRÁN MARTÍNEZ,contactenos@bucaramanga.gov.co
17001,Caldas,Manizales,,,,,,,JORGE EDUARDO ROJAS GIRALDO,contacto@manizales.gov.co
23001,Córdoba,Montería,,,,,,,HUGO FERNANDO KERGUELEN GARCÍA,despachoalcalde@monteria.gov.co
20001,Cesar,Valledupar,,,,,,,ERNESTO MIGUEL OROZCO DURAN,alcaldia@valledupar-cesar.gov.co
73001,Tolima,Ibagué,,,,,,,JOHANA XIMENA ARANDA RIVERA,alcalde@ibague.gov.co
54001,Norte De Santander,Cúcuta,,,,,,,,
66001,Risaralda,Pereira,,,,,,,MAURICIO SALAZAR PELÁEZ,contactenos@pereira.gov.co
15001,Boyacá,Tunja,,,,,,,MIKHAIL KRASNOV,atencionalciudadano@tunja.gov.co
19001,Cauca,Popayán,,,,,,,JUAN CARLOS MUÑOZ BRAVO,alcaldia@popayan.gov.co
27001,Chocó,Quibdó,,,,,,,RAFAEL ANDRÉS BOLAÑOS PINO,despacho@quibdo-choco.gov.co
41001,Huila,Neiva,,,,,,,GERMAN CASAGUA BONILLA,alcaldia@alcaldianeiva.gov.co
63001,Quindio,Armenia,,,,,,,JAMES PADILLA GARCÍA,servicioalcliente@armenia.gov.co
88001,San Andrés y Providencia,San Andrés,,,,,,,,
05002,Antioquia,Abejorral,,,,,,,MANUEL ALBERTO GUZMÁN MARÍN,alcaldia@abejorral-antioquia.gov.co
05004,Antioquia,Abriaquí,,,,,,,DANIEL ALBERTO SALAS GALLEGO,alcaldia@abriaqui-antioquia.gov.co
05021,Antioquia,Alejandría,,,,,,,GLORIA CECILIA NARANJO OSORIO,alcaldia@alejandria-antioquia.gov.co
05030,Antioquia,Amagá,,,,,,,WILSER DARÍO MOLINA MOLINA,alcaldia@amaga-antioquia.gov.co
05031,Antioquia,Amalfi,,,,,,,WILMAR ALONSO VÉLEZ LONDOÑO,alcaldia@amalfi-antioquia.gov.co
