codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,festival_principal,fecha_inicio,fecha_fin,descripcion_festival,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,fuente_datos,estado_enriquecimiento,observaciones
05001,Antioquia,Medellín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05002,Antioquia,Abejorral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05004,Antioquia,Abriaquí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05021,Antioquia,Alejandría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05030,Antioquia,Amagá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05031,Antioquia,Amalfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05034,Antioquia,Andes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05036,Antioquia,Angelópolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05038,Antioquia,Angostura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05040,Antioquia,Anorí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05042,Antioquia,Santafé de Antioquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05044,Antioquia,Anza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05045,Antioquia,Apartadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05051,Antioquia,Arboletes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05055,Antioquia,Argelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05059,Antioquia,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05079,Antioquia,Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05086,Antioquia,Belmira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05088,Antioquia,Bello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05091,Antioquia,Betania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05093,Antioquia,Betulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
