codigo_dane,departamento,municipio,mandatario,correo,fuente
5001,Antioquia,Medellín,FEDERICO ANDRÉS GUTIÉRREZ ZULUAGA,atencion.ciudadana@medellin.gov.co,Hoja 3
5002,Antioquia,Abejorral,MANUEL ALBERTO GUZMÁN MARÍN,alcaldia@abejorral-antioquia.gov.co,Hoja 3
5004,Antioquia,Abriaquí,DANIEL ALBERTO SALAS GALLEGO,alcaldia@abriaqui-antioquia.gov.co,Hoja 3
5021,Antioquia,Alejandría,GLORIA CECILIA NARANJO OSORIO,alcaldia@alejandria-antioquia.gov.co,Hoja 3
5030,Antioquia,Amagá,WILSER DARÍO MOLINA MOLINA,alcaldia@amaga-antioquia.gov.co,Hoja 3
5031,Antioquia,Amalfi,WILMAR ALONSO VÉLEZ LONDOÑO,alcaldia@amalfi-antioquia.gov.co,Hoja 3
5034,Antioquia,Andes,GERMAN ALEXANDER VÉLEZ OROZCO,alcalde@andes-antioquia.gov.co,Hoja 3
5036,Antioquia,Angelópolis,JOSÉ LUIS MONTOYA QUICENO,alcaldia@angelopolis-antioquia.gov.co,Hoja 3
5038,Antioquia,Angostura,VÍCTOR IGNACIO MEDINA GÓMEZ,alcaldia@angostura-antioquia.gov.co,Hoja 3
5040,Antioquia,Anorí,GUSTAVO ALFREDO SILVA GUTIÉRREZ,alcaldia@anori-antioquia.gov.co,Hoja 3
5042,Antioquia,Santafé de Antioquia,YAMID CARVAJAL CARVAJAL,contactenos@santafedeantioquia-antioquia.gov.co,Hoja 3
5044,Antioquia,Anza,JUAN GUILLERMO HINCAPIÉ FIGUEROA,alcaldia@anza-antioquia.gov.co,Hoja 3
5045,Antioquia,Apartadó,HÉCTOR RANGEL PALACIOS RODRÍGUEZ,general@apartado.gov.co,Hoja 3
5051,Antioquia,Arboletes,ÁLVARO GONZÁLEZ ÁVILA,alcaldia@arboletes-antioquia.gov.co,Hoja 3
5055,Antioquia,Argelia,DIEGO ALEXANDER LÓPEZ GIRALDO,alcaldia@argelia-antioquia.gov.co,Hoja 3
5059,Antioquia,Armenia,MARTHA LIBIA PARRA GIL,alcaldia@armenia-antioquia.gov.co,Hoja 3
5079,Antioquia,Barbosa,JUAN DAVID ROJAS AGUDELO,alcaldia@barbosa.gov.co,Hoja 3
5086,Antioquia,Belmira,DARCY ESTEBAN ARBOLEDA RUA,alcaldia@belmira-antioquia.gov.co,Hoja 3
5088,Antioquia,Bello,YULIETH LORENA GONZÁLEZ OSPINA,contactenos@bello.gov.co,Hoja 3
5091,Antioquia,Betania,DIEGO ARLEY DE JESÚS GUERRA GUTIÉRREZ,alcaldia@betania-antioquia.gov.co,Hoja 3
5093,Antioquia,Betulia,NÉSTOR CAMILO SERNA HERNÁNDEZ,gobierno@betulia-antioquia.gov.co,Hoja 3
5101,Antioquia,Ciudad Bolívar,LEÓN DARÍO ACEVEDO VARGAS,alcaldia@ciudadbolivar-antioquia.gov.co,Hoja 3
5107,Antioquia,Briceño,NOE DE JESÚS ESPINOSA VÁSQUEZ,alcaldia@briceno-antioquia.gov.co,Hoja 3
5113,Antioquia,Buriticá,JOSÉ LUIS RODRÍGUEZ ÚSUGA,alcaldia@buritica-antioquia.gov.co,Hoja 3
5120,Antioquia,Cáceres,DAMIANA MARÍA MONTERROSA PÉREZ,gobierno@caceres-antioquia.gov.co,Hoja 3
5125,Antioquia,Caicedo,YUBER FELIPE MOLINA MURILLO,alcaldia@caicedo-antioquia.gov.co,Hoja 3
5129,Antioquia,Caldas,JORGE MARIO RENDON VÉLEZ,contactenos@caldasantioquia.gov.co,Hoja 3
5134,Antioquia,Campamento,CRISTIAN ANDRÉS AGUDELO POSADA,alcaldia@campamento-antioquia.gov.co,Hoja 3
5138,Antioquia,Cañasgordas,DIEGO ALONSO VANEGAS ARANGO,alcaldia@canasgordas-antioquia.gov.co,Hoja 3
5142,Antioquia,Caracolí,RODRIGO ALVEIRO CADAVID HERRERA,gobierno@caracoli-antioquia.gov.co,Hoja 3
5145,Antioquia,Caramanta,JUAN ESTEBAN CORREA CÁRDENAS,alcaldia@caramanta-antioquia.gov.co,Hoja 3
5147,Antioquia,Carepa,AGAPITO MURILLO PALACIOS,alcaldia@carepa-antioquia.gov.co,Hoja 3
5148,Antioquia,El Carmen de Viboral,HUGO ALFONSO JIMÉNEZ CUERVO,alcaldia@elcarmendeviboral-antioquia.gov.co,Hoja 3
5150,Antioquia,Carolina,ANA ISABEL AVENDAÑO DUQUE,contactenos@carolinadelprincipe-antioquia.gov.co,Hoja 3
5154,Antioquia,Caucasia,JHOAN ODERIS MONTES CORTES,alcaldia@caucasia-antioquia.gov.co,Hoja 3
5172,Antioquia,Chigorodó,TULIA IRENE RUIZ GARCÍA,alcaldia@chigorodo-antioquia.gov.co,Hoja 3
5190,Antioquia,Cisneros,LINA MARÍA CORREA VALENCIA,alcaldia@cisneros-antioquia.gov.co,Hoja 3
5197,Antioquia,Cocorná,DAVID ALEJANDRO GÓMEZ HOYOS,alcaldia@cocorna-antioquia.gov.co,Hoja 3
5206,Antioquia,Concepción,ADRIÁN HENAO CARVAJAL,alcaldia@concepcion-antioquia.gov.co,Hoja 3
5209,Antioquia,Concordia,ALEXANDRA MARÍA HERRERA QUIJANO,alcaldia@concordia-antioquia.gov.co,Hoja 3
5212,Antioquia,Copacabana,JOHNNATAN ANDRÉS PINEDA AGUDELO,alcaldia@copacabana.gov.co,Hoja 3
5234,Antioquia,Dabeiba,DANIEL HIGUITA HERRERA,alcaldia@dabeiba-antioquia.gov.co,Hoja 3
5237,Antioquia,Don Matías,JAVIER DARÍO LÓPEZ RESTREPO,alcaldia@donmatias-antioquia.gov.co,Hoja 3
5240,Antioquia,Ebéjico,DAVID ALONSO RESTREPO CASTRILLÓN,alcaldia@ebejico-antioquia.gov.co,Hoja 3
5250,Antioquia,El Bagre,MARCO FIDEL TRESPALACIO BULLOSO,alcaldia@elbagre-antioquia.gov.co,Hoja 3
5264,Antioquia,Entrerrios,JULIO CESAR LOPERA POSADA,alcaldia@entrerrios-antioquia.gov.co,Hoja 3
5266,Antioquia,Envigado,RAÚL EDUARDO CARDONA GONZÁLEZ,alcaldia@envigado.gov.co,Hoja 3
5282,Antioquia,Fredonia,ALDUBAR DE JESÚS VANEGAS MARÍN,alcaldia@fredonia-antioquia.gov.co,Hoja 3
5284,Antioquia,Frontino,LUZ GABRIELA RIVERA CANO,alcaldia@frontino-antioquia.gov.co,Hoja 3
5306,Antioquia,Giraldo,MARÍA CAMILA MANCO SUAREZ,contactenos@giraldo-antioquia.gov.co,Hoja 3
5308,Antioquia,Girardota,KEVIN RENE BERNAL MORALES,contactenos@girardota.gov.co,Hoja 3
5310,Antioquia,Gómez Plata,LUIS GUILLERMO PÉREZ ECHEVERRI,contactenos@gomezplata-antioquia.gov.co,Hoja 3
5313,Antioquia,Granada,DANIEL ANDRÉS HOYOS YEPES,alcalde@granada-antioquia.gov.co,Hoja 3
5315,Antioquia,Guadalupe,JOSÉ FERNANDO SALAZAR OSPINA,alcaldia@guadalupe-antioquia.gov.co,Hoja 3
5318,Antioquia,Guarne,DIEGO MAURICIO GRISALES GALLEGO,alcaldia@guarne-antioquia.gov.co,Hoja 3
5321,Antioquia,Guatapé,DAVID ESTEBAN FRANCO VALLEJO,alcaldia@guatape-antioquia.gov.co,Hoja 3
5347,Antioquia,Heliconia,JORGE ALEXANDER ÁLVAREZ ARANGO,alcaldia@heliconia-antioquia.gov.co,Hoja 3
5353,Antioquia,Hispania,ORLANDO ARTURO MARÍN ATEHORTÚA,hacienda@hispania-antioquia.gov.co,Hoja 3
5360,Antioquia,Itagui,DIEGO LEÓN TORRES SÁNCHEZ,contactenos@itagui.gov.co,Hoja 3
5361,Antioquia,Ituango,JAVIER DE JESÚS PARIAS POSSO,alcaldia@ituango-antioquia.gov.co,Hoja 3
5364,Antioquia,Jardín,CLAUDIA YANETH NARANJO AGUDELO,alcaldia@eljardin-antioquia.gov.co,Hoja 3
5368,Antioquia,Jericó,SEBASTIÁN GARCES PIEDRAHITA,alcaldia@jerico-antioquia.gov.co,Hoja 3
5376,Antioquia,La Ceja,MARÍA ILBED SANTA SANTA,alcaldia@laceja-antioquia.gov.co,Hoja 3
5380,Antioquia,La Estrella,CARLOS MARIO GUTIERREZ ARRUBLA,alcalde@laestrella.gov.co,Hoja 3
5390,Antioquia,La Pintada,HERMAN ANTONIO CORREA BEDOYA,alcaldia@lapintada-antioquia.gov.co,Hoja 3
5400,Antioquia,La Unión,CARMEN JUDITH VALENCIA MORENO,alcaldia@launion-antioquia.gov.co,Hoja 3
5411,Antioquia,Liborina,NANCY AMPARO AVENDAÑO MORENO,contactenos@liborina-antioquia.gov.co,Hoja 3
5425,Antioquia,Maceo,CAROLINA ANDREA SOSA GÓMEZ,alcaldia@maceo-antioquia.gov.co,Hoja 3
5440,Antioquia,Marinilla,JULIO CESAR SERNA GÓMEZ,alcaldia@marinilla-antioquia.gov.co,Hoja 3
5467,Antioquia,Montebello,OSCAR ERNESTO CUERVO VILLADA,alcaldia@montebello-antioquia.gov.co,Hoja 3
5475,Antioquia,Murindó,EMPERATRIZ MENA PALACIO,alcaldia@murindo-antioquia.gov.co,Hoja 3
5480,Antioquia,Mutatá,JAIRO ENRIQUE ORTIZ PALACIOS,alcaldia@mutata-antioquia.gov.co,Hoja 3
5483,Antioquia,Nariño,ERIKA CARDONA PÉREZ,despachoalcalde@narino-antioquia.gov.co,Hoja 3
5490,Antioquia,Necoclí,GUILLERMO JOSÉ CARDONA MORENO,contactenos@necocli-antioquia.gov.co,Hoja 3
5495,Antioquia,Nechí,YUMARIS PATRICIA HENRÍQUEZ BANQUET,gobierno@nechi-antioquia.gov.co,Hoja 3
5501,Antioquia,Olaya,JESÚS DAVID HERNÁNDEZ LONDOÑO,alcaldia@olaya-antioquia.gov.co,Hoja 3
5541,Antioquia,Peñol,SANDRA ARELIS DUQUE VELÁSQUEZ,alcaldia@elpenol-antioquia.gov.co,Hoja 3
5543,Antioquia,Peque,ERMILSON DE JESÚS HERNÁNDEZ HERNÁNDEZ,gobierno@peque-antioquia.gov.co,Hoja 3
5576,Antioquia,Pueblorrico,CRISTIAN CAMILO ZAPATA RAMÍREZ,alcaldia@pueblorrico-antioquia.gov.co,Hoja 3
