municipio,departamento,email
Puerto Santander,Amazonas,alcaldia@puertosantander.gov.co
Mapiripana,Guainía,alcaldia@mapiripana.gov.co
Abejorral,Antioquia,alcaldia@abejorral.gov.co
Corinto,Cauca,alcaldia@corinto.gov.co
Piendamó,Cauca,alcaldia@piendamo.gov.co
Toribio,Cauca,alcaldia@toribio.gov.co
San Juan del Cesar,La Guajira,alcaldia@sanjuandelcesar.gov.co
Arboletes,Antioquia,alcaldia@arboletes.gov.co
Necoclí,Antioquia,alcaldia@necocli.gov.co
Puerto Nare,Antioquia,alcaldia@puertonare.gov.co
San Carlos,Antioquia,alcaldia@sancarlos.gov.co
San Rafael,Antioquia,alcaldia@sanrafael.gov.co
Segovia,Antioquia,alcaldia@segovia.gov.co
Támesis,Antioquia,alcaldia@tamesis.gov.co
Tarazá,Antioquia,alcaldia@taraza.gov.co
Uramita,Antioquia,alcaldia@uramita.gov.co
Galapa,Atlántico,alcaldia@galapa.gov.co
Duitama,Boyacá,alcaldia@duitama.gov.co
Villa de Leyva,Boyacá,alcaldia@villadeleyva.gov.co
Sogamoso,Boyacá,alcaldia@sogamoso.gov.co
Soledad,Atlántico,alcaldia@soledad.gov.co
Montería,Córdoba,alcaldia@monteria.gov.co
Lorica,Córdoba,alcaldia@lorica.gov.co
Sahagún,Córdoba,alcaldia@sahagun.gov.co
San Carlos,Córdoba,alcaldia@sancarlos.gov.co
Granada,Cundinamarca,alcaldia@granada.gov.co
Quibdó,Chocó,alcaldia@quibdo.gov.co
Istmina,Chocó,alcaldia@istmina.gov.co
Neiva,Huila,alcaldia@neiva.gov.co
Garzón,Huila,alcaldia@garzon.gov.co
Pitalito,Huila,alcaldia@pitalito.gov.co
Riohacha,La Guajira,alcaldia@riohacha.gov.co
Villavicencio,Meta,alcaldia@villavicencio.gov.co
Granada,Meta,alcaldia@granada.gov.co
Granada,Antioquia,alcaldia@granada.gov.co
Puerto Santander,Norte De Santander,alcaldia@puertosantander.gov.co
Barichara,Santander,alcaldia@barichara.gov.co
San Gil,Santander,alcaldia@sangil.gov.co
Socorro,Santander,alcaldia@socorro.gov.co
Vélez,Santander,alcaldia@velez.gov.co
Sincelejo,Sucre,alcaldia@sincelejo.gov.co
Corozal,Sucre,alcaldia@corozal.gov.co
Ibagué,Tolima,alcaldia@ibague.gov.co
Espinal,Tolima,alcaldia@espinal.gov.co
Honda,Tolima,alcaldia@honda.gov.co
Yopal,Casanare,alcaldia@yopal.gov.co
Aguazul,Casanare,alcaldia@aguazul.gov.co
Tunja,Boyacá,alcaldia@tunja.gov.co
