codigo_dane,departamento,municipio,festival,descripcion,fecha_inicio,fecha_fin,status,fuente
70124,Sucre,Caimito,Fiestas de Caimito,,,,pendiente,Generado automáticamente
05895,Antioquia,Zaragoza,Fiestas de Zaragoza,,,,pendiente,Generado automáticamente
08078,Atlántico,Baranoa,Fiestas de Baranoa,,,,pendiente,Generado automáticamente
08137,Atlántico,Campo de La Cruz,Fiestas de Campo de La Cruz,,,,pendiente,Generado automáticamente
08141,Atlántico,Candelaria,Fiestas de Candelaria,,,,pendiente,Generado automáticamente
08296,Atlántico,Galapa,Fiestas de Galapa,,,,pendiente,Generado automáticamente
08372,Atlántico,Juan de Acosta,Fiestas de Juan de Acosta,,,,pendiente,Generado automáticamente
08421,Atlántico,Luruaco,Fiestas de Luruaco,,,,pendiente,Generado automáticamente
76845,Valle Del Cauca,Ulloa,Fiestas de Ulloa,,,,pendiente,Generado automáticamente
76869,Valle Del Cauca,Vijes,Fiestas de Vijes,,,,pendiente,Generado automáticamente
76890,Valle Del Cauca,Yotoco,Fiestas de Yotoco,,,,pendiente,Generado automáticamente
76892,Valle Del Cauca,Yumbo,Fiestas de Yumbo,,,,pendiente,Generado automáticamente
76895,Valle Del Cauca,Zarzal,Fiestas de Zarzal,,,,pendiente,Generado automáticamente
81065,Arauca,Arauquita,Fiestas de Arauquita,,,,pendiente,Generado automáticamente
81220,Arauca,Cravo Norte,Fiestas de Cravo Norte,,,,pendiente,Generado automáticamente
81300,Arauca,Fortul,Fiestas de Fortul,,,,pendiente,Generado automáticamente
81591,Arauca,Puerto Rondón,Fiestas de Puerto Rondón,,,,pendiente,Generado automáticamente
81736,Arauca,Saravena,Fiestas de Saravena,,,,pendiente,Generado automáticamente
81794,Arauca,Tame,Fiestas de Tame,,,,pendiente,Generado automáticamente
85010,Casanare,Aguazul,Fiestas de Aguazul,,,,pendiente,Generado automáticamente
85015,Casanare,Chameza,Fiestas de Chameza,,,,pendiente,Generado automáticamente
85125,Casanare,Hato Corozal,Fiestas de Hato Corozal,,,,pendiente,Generado automáticamente
85136,Casanare,La Salina,Fiestas de La Salina,,,,pendiente,Generado automáticamente
85139,Casanare,Maní,Fiestas de Maní,,,,pendiente,Generado automáticamente
85162,Casanare,Monterrey,Fiestas de Monterrey,,,,pendiente,Generado automáticamente
85230,Casanare,Orocué,Fiestas de Orocué,,,,pendiente,Generado automáticamente
