codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,gentilicio,bandera_jpg,alcalde,correo_alcalde,festival,fecha_inicio,fecha_fin,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3
05001,Antioquia,Medellín,VALLE DEL ABURRA,2653729,19.3,1475.0,,05001.jpg,FEDERICO ANDRÉS GUTIÉRREZ ZULUAGA,atencion.ciudadana@medellin.gov.co,Feria de las Flores,2026-08-01,,,,,,,,,,,,,
05001,Antioquia,Medellín,VALLE DEL ABURRA,2653729,19.3,1475.0,,05001.jpg,FEDERICO ANDRÉS GUTIÉRREZ ZULUAGA,atencion.ciudadana@medellin.gov.co,Desfile de Silleteros,2026-08-09,,,,,,,,,,,,,
05001,Antioquia,Medellín,VALLE DEL ABURRA,2653729,19.3,1475.0,,05001.jpg,FEDERICO ANDRÉS GUTIÉRREZ ZULUAGA,atencion.ciudadana@medellin.gov.co,Festival Internacional de Tango,2026-06-20,,,,,,,,,,,,,
05001,Antioquia,Medellín,VALLE DEL ABURRA,2653729,19.3,1475.0,,05001.jpg,FEDERICO ANDRÉS GUTIÉRREZ ZULUAGA,atencion.ciudadana@medellin.gov.co,Colombiamoda,2026-07-28,,,,,,,,,,,,,
05002,Antioquia,Abejorral,ORIENTE,21246,14.7,2167.0,,05002.jpg,MANUEL ALBERTO GUZMÁN MARÍN,alcaldia@abejorral-antioquia.gov.co,Fiestas de la Virgen de la Candelaria,2026-02-02,,,,,,,,,,,,,
05004,Antioquia,Abriaquí,OCCIDENTE,2864,15.5,2002.0,,05004.jpg,DANIEL ALBERTO SALAS GALLEGO,alcaldia@abriaqui-antioquia.gov.co,Fiestas de San Pedro,2026-06-29,,,,,,,,,,,,,
05021,Antioquia,Alejandría,ORIENTE,4920,18.2,1447.0,,05021.jpg,GLORIA CECILIA NARANJO OSORIO,alcaldia@alejandria-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05030,Antioquia,Amagá,SUROESTE,32762,19.1,1434.0,,05030.jpg,WILSER DARÍO MOLINA MOLINA,alcaldia@amaga-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05031,Antioquia,Amalfi,NORDESTE,28357,20.0,1082.0,,05031.jpg,WILMAR ALONSO VÉLEZ LONDOÑO,alcaldia@amalfi-antioquia.gov.co,Fiestas del Tigre,2026-08-15,,,,,,,,,,,,,
05034,Antioquia,Andes,SUROESTE,46289,18.1,1529.0,,05034.jpg,GERMAN ALEXANDER VÉLEZ OROZCO,alcalde@andes-antioquia.gov.co,Fiestas Katías,2026-08-10,,,,,,,,,,,,,
05036,Antioquia,Angelópolis,SUROESTE,6117,17.6,1591.0,,05036.jpg,JOSÉ LUIS MONTOYA QUICENO,alcaldia@angelopolis-antioquia.gov.co,Fiestas de San José,2026-03-19,,,,,,,,,,,,,
05038,Antioquia,Angostura,NORTE,12081,16.2,1842.0,,05038.jpg,VÍCTOR IGNACIO MEDINA GÓMEZ,alcaldia@angostura-antioquia.gov.co,Fiestas de San José,2026-03-19,,,,,,,,,,,,,
05040,Antioquia,Anorí,NORDESTE,20011,17.1,1584.0,,05040.jpg,GUSTAVO ALFREDO SILVA GUTIÉRREZ,alcaldia@anori-antioquia.gov.co,Fiestas de San Isidro Labrador,2026-05-15,,,,,,,,,,,,,
05042,Antioquia,Santa Fe de Antioquia,OCCIDENTE,28421,27,"570,00",,05042.jpg,,,Fiestas de los Diablitos,2026-12-22,,,,,,,,,,,,,
05044,Antioquia,Anza,OCCIDENTE,7508,16.9,1726.0,,05044.jpg,JUAN GUILLERMO HINCAPIÉ FIGUEROA,alcaldia@anza-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05045,Antioquia,Apartadó,URABA,133811,23.8,239.0,,05045.jpg,HÉCTOR RANGEL PALACIOS RODRÍGUEZ,general@apartado.gov.co,Fiestas del Banano,2026-11-10,,,,,,,,,,,,,
05051,Antioquia,Arboletes,URABA,31953,25.2,65.0,,05051.jpg,ÁLVARO GONZÁLEZ ÁVILA,alcaldia@arboletes-antioquia.gov.co,Fiestas del Mar y del Volcán,2026-07-05,,,,,,,,,,,,,
05055,Antioquia,Argelia,ORIENTE,5280,19.3,1295.0,,05055.jpg,DIEGO ALEXANDER LÓPEZ GIRALDO,alcaldia@argelia-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05059,Antioquia,Armenia,OCCIDENTE,5314,17.6,1390.0,,05059.jpg,MARTHA LIBIA PARRA GIL,alcaldia@armenia-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05079,Antioquia,Barbosa,VALLE DEL ABURRA,33510,19.7,1297.0,,05079.jpg,JUAN DAVID ROJAS AGUDELO,alcaldia@barbosa.gov.co,Fiestas del Río Medellín,2026-08-20,,,,,,,,,,,,,
05086,Antioquia,Belmira,NORTE,6405,8.8,3251.0,,05086.jpg,DARCY ESTEBAN ARBOLEDA RUA,alcaldia@belmira-antioquia.gov.co,Fiestas del Agua,2026-01-10,,,,,,,,,,,,,
05088,Antioquia,Bello,VALLE DEL ABURRA,578376,19.3,1456.0,,05088.jpg,YULIETH LORENA GONZÁLEZ OSPINA,contactenos@bello.gov.co,Fiestas del Cerro Quitasol,2026-08-15,,,,,,,,,,,,,
05091,Antioquia,Betania,SUROESTE,10770,18.7,1537.0,,05091.jpg,DIEGO ARLEY DE JESÚS GUERRA GUTIÉRREZ,alcaldia@betania-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05093,Antioquia,Betulia,SUROESTE,6219,18.2,1631.0,,05093.jpg,NÉSTOR CAMILO SERNA HERNÁNDEZ,gobierno@betulia-antioquia.gov.co,Fiestas del Retorno,2026-12-26,,,,,,,,,,,,,
05101,Antioquia,Ciudad Bolívar,SUROESTE,27557,20.2,1247.0,,05101.jpg,LEÓN DARÍO ACEVEDO VARGAS,alcaldia@ciudadbolivar-antioquia.gov.co,,,,,,,,,,,,,,,
05107,Antioquia,Briceño,NORTE,2206,18.9,1363.0,,05107.jpg,NOE DE JESÚS ESPINOSA VÁSQUEZ,alcaldia@briceno-antioquia.gov.co,Fiestas de San José,2026-03-19,,,,,,,,,,,,,
05113,Antioquia,Buriticá,OCCIDENTE,10089,16.8,1685.0,,05113.jpg,JOSÉ LUIS RODRÍGUEZ ÚSUGA,alcaldia@buritica-antioquia.gov.co,Fiestas de San Antonio,2026-06-13,,,,,,,,,,,,,
05120,Antioquia,Cáceres,BAJO CAUCA,31798,25.1,83.0,,05120.jpg,DAMIANA MARÍA MONTERROSA PÉREZ,gobierno@caceres-antioquia.gov.co,Fiestas del Río Cauca,2026-08-12,,,,,,,,,,,,,
05125,Antioquia,Caicedo,SUROESTE,8940,14.8,2173.0,,05125.jpg,YUBER FELIPE MOLINA MURILLO,alcaldia@caicedo-antioquia.gov.co,Fiestas de San Isidro Labrador,2026-05-15,,,,,,,,,,,,,
05129,Antioquia,Caldas,VALLE DEL ABURRA,3188,17.0,1756.0,,05129.jpg,JORGE MARIO RENDON VÉLEZ,contactenos@caldasantioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05134,Antioquia,Campamento,NORTE,9680,18.0,1385.0,,05134.jpg,CRISTIAN ANDRÉS AGUDELO POSADA,alcaldia@campamento-antioquia.gov.co,Fiestas de San José,2026-03-19,,,,,,,,,,,,,
05138,Antioquia,Cañasgordas,OCCIDENTE,16287,19.7,1291.0,,05138.jpg,DIEGO ALONSO VANEGAS ARANGO,alcaldia@canasgordas-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05142,Antioquia,Carolina del Príncipe,MAGDALENA MEDIO,,,,,05142.jpg,,,Fiestas del Agua y la Vida,2026-06-10,,,,,,,,,,,,,
05145,Antioquia,Caramanta,SUROESTE,4868,14.0,2378.0,,05145.jpg,JUAN ESTEBAN CORREA CÁRDENAS,alcaldia@caramanta-antioquia.gov.co,,,,,,,,,,,,,,,
05147,Antioquia,Carepa,URABA,53572,25.1,32.0,,05147.jpg,AGAPITO MURILLO PALACIOS,alcaldia@carepa-antioquia.gov.co,Fiestas del Plátano,2026-10-10,,,,,,,,,,,,,
05148,Antioquia,El Carmen de Viboral,ORIENTE,65553,13.4,2375.0,,05148.jpg,HUGO ALFONSO JIMÉNEZ CUERVO,alcaldia@elcarmendeviboral-antioquia.gov.co,Fiestas de la Loza,2026-08-15,,,,,,,,,,,,,
05150,Antioquia,Carolina,NORTE,4160,15.5,2071.0,,05150.jpg,ANA ISABEL AVENDAÑO DUQUE,contactenos@carolinadelprincipe-antioquia.gov.co,,,,,,,,,,,,,,,
05154,Antioquia,Caucasia,BAJO CAUCA,99959,25.4,60.0,,05154.jpg,JHOAN ODERIS MONTES CORTES,alcaldia@caucasia-antioquia.gov.co,Fiestas del Río Cauca,2026-08-15,,,,,,,,,,,,,
05172,Antioquia,Chigorodó,URABA,62678,25.2,35.0,,05172.jpg,TULIA IRENE RUIZ GARCÍA,alcaldia@chigorodo-antioquia.gov.co,Fiestas del Banano,2026-11-05,,,,,,,,,,,,,
05172,Antioquia,Donmatías,URABA,20645,,,,05172.jpg,,,Fiestas de la Confección,2026-08-10,,,,,,,,,,,,,
05190,Antioquia,Cisneros,NORDESTE,10406,19.5,1248.0,,05190.jpg,LINA MARÍA CORREA VALENCIA,alcaldia@cisneros-antioquia.gov.co,Fiestas del Transporte,2026-08-20,,,,,,,,,,,,,
05197,Antioquia,Cocorná,ORIENTE,15534,18.9,1304.0,,05197.jpg,DAVID ALEJANDRO GÓMEZ HOYOS,alcaldia@cocorna-antioquia.gov.co,Fiestas del Retorno,2026-12-26,,,,,,,,,,,,,
05206,Antioquia,Concepción,ORIENTE,4983,9.3,3172.0,,05206.jpg,ADRIÁN HENAO CARVAJAL,alcaldia@concepcion-antioquia.gov.co,Fiestas de la Virgen del Carmen,2026-07-16,,,,,,,,,,,,,
05209,Antioquia,Concordia,SUROESTE,11618,16.0,2000.0,,05209.jpg,ALEXANDRA MARÍA HERRERA QUIJANO,alcaldia@concordia-antioquia.gov.co,,,,,,,,,,,,,,,
05212,Antioquia,Copacabana,VALLE DEL ABURRA,85706,19.2,1449.0,,05212.jpg,JOHNNATAN ANDRÉS PINEDA AGUDELO,alcaldia@copacabana.gov.co,,,,,,,,,,,,,,,
05234,Antioquia,Dabeiba,OCCIDENTE,24621,23.6,488.0,,05234.jpg,DANIEL HIGUITA HERRERA,alcaldia@dabeiba-antioquia.gov.co,Fiestas del Grano y el Retorno,2026-10-31,,,,,,,,,,,,,
05237,Antioquia,Don Matías,NORTE,20645,13.9,2281.0,,05237.jpg,JAVIER DARÍO LÓPEZ RESTREPO,alcaldia@donmatias-antioquia.gov.co,,,,,,,,,,,,,,,
05240,Antioquia,Ebéjico,OCCIDENTE,12708,20.7,1159.0,,05240.jpg,DAVID ALONSO RESTREPO CASTRILLÓN,alcaldia@ebejico-antioquia.gov.co,,,,,,,,,,,,,,,
05250,Antioquia,El Bagre,BAJO CAUCA,56392,25.5,51.0,,05250.jpg,MARCO FIDEL TRESPALACIO BULLOSO,alcaldia@elbagre-antioquia.gov.co,Fiestas del Oro,2026-09-01,,,,,,,,,,,,,
05264,Antioquia,Entrerrios,NORTE,12285,14.2,2312.0,,05264.jpg,JULIO CESAR LOPERA POSADA,alcaldia@entrerrios-antioquia.gov.co,Fiestas de la Leche,2026-01-15,,,,,,,,,,,,,
05266,Antioquia,Envigado,VALLE DEL ABURRA,253699,13.2,2444.0,,05266.jpg,RAÚL EDUARDO CARDONA GONZÁLEZ,alcaldia@envigado.gov.co,Fiestas del Carriel,2026-07-10,,,,,,,,,,,,,
05282,Antioquia,Fredonia,SUROESTE,25924,18.7,1476.0,,05282.jpg,ALDUBAR DE JESÚS VANEGAS MARÍN,alcaldia@fredonia-antioquia.gov.co,,,,,,,,,,,,,,,
05284,Antioquia,Frontino,OCCIDENTE,21679,18.8,1389.0,,05284.jpg,LUZ GABRIELA RIVERA CANO,alcaldia@frontino-antioquia.gov.co,,,,,,,,,,,,,,,
05306,Antioquia,Giraldo,OCCIDENTE,6022,13.3,2435.0,,05306.jpg,MARÍA CAMILA MANCO SUAREZ,contactenos@giraldo-antioquia.gov.co,,,,,,,,,,,,,,,
05308,Antioquia,Girardota,VALLE DEL ABURRA,57024,19.2,1471.0,,05308.jpg,KEVIN RENE BERNAL MORALES,contactenos@girardota.gov.co,,,,,,,,,,,,,,,
05310,Antioquia,Gómez Plata,NORTE,10390,17.0,1877.0,,05310.jpg,LUIS GUILLERMO PÉREZ ECHEVERRI,contactenos@gomezplata-antioquia.gov.co,,,,,,,,,,,,,,,
