id_provisional,departamento,bandera_url,nombre,subregion,altitud_msnm,temperatura_prom,area_km2,habitantes,fundacion
1,Antioquia,,Cáceres,Bajo Cauca,100,28,1996,29067,1576
2,Antioquia,,Caucasia,Bajo Cauca,59,28,1411,93843,1886
3,Antioquia,,El Bagre,Bajo Cauca,51,28,1563,56197,1675
4,Antioquia,,Nechí,Bajo Cauca,36,28,914,29415,1636
5,Antioquia,,Tarazá,Bajo Cauca,108,28,1560,29228,1953
6,Antioquia,,Zaragoza,Bajo Cauca,67,28,1064,26785,1581
7,Antioquia,,Caracolí,Magdalena Medio,621,26,260,4510,1876
8,Antioquia,,Maceo,Magdalena Medio,960,23,431,8873,1910
9,Antioquia,,Puerto Berrío,Magdalena Medio,116,27,1184,39192,1875
10,Antioquia,,Puerto Nare,Magdalena Medio,131,27,660,15584,1857
11,Antioquia,,Puerto Triunfo,Magdalena Medio,152,27,361,20173,1944
12,Antioquia,,Yondó,Magdalena Medio,75,28,1881,22061,1941
13,Antioquia,,Amalfi,Nordeste,1552,20,1224,29054,1838
14,Antioquia,,Anorí,Nordeste,1586,20,1447,21035,1808
15,Antioquia,,Cisneros,Nordeste,1034,24,46,10092,1910
16,Antioquia,,Remedios,Nordeste,718,25,1985,33021,1560
17,Antioquia,,San Roque,Nordeste,1425,23,441,24555,1880
18,Antioquia,,Santo Domingo,Nordeste,1958,18,271,13488,1778
19,Antioquia,,Segovia,Nordeste,683,24,1231,39343,1869
20,Antioquia,,Vegachí,Nordeste,972,23,512,12160,1950
21,Antioquia,,Yalí,Nordeste,1239,23,447,7719,1888
22,Antioquia,,Yolombó,Nordeste,1465,21,941,25038,1560
23,Antioquia,,Angostura,Norte,1687,"19,4",392,12511,1814
24,Antioquia,,Belmira,Norte,2515,14,279,6151,1757
25,Antioquia,,Briceño,Norte,1233,"20,6",406,7957,1886
26,Antioquia,,Campamento,Norte,1698,20,200,10005,1827
27,Antioquia,,Carolina del Príncipe,Norte,1796,20,200,3942,1787
28,Antioquia,,Donmatías,Norte,2157,16,181,19793,1787
29,Antioquia,,Entrerríos,Norte,2290,16,219,12736,1830
30,Antioquia,,Gómez Plata,Norte,1814,20,360,10373,1882
31,Antioquia,,Guadalupe,Norte,1856,20,87,7009,1895
32,Antioquia,,Ituango,Norte,1600,21,2345,29515,1844
33,Antioquia,,San Andrés de Cuerquia,Norte,1486,22,177,7402,1761
34,Antioquia,,San José de la Montaña,Norte,2572,13,127,4017,1916
35,Antioquia,,San Pedro de los Milagros,Norte,2472,14,229,22287,1659
36,Antioquia,,Santa Rosa de Osos,Norte,2567,13,812,40261,1757
37,Antioquia,,Toledo,Norte,1817,19,139,4824,1757
38,Antioquia,,Valdivia,Norte,1091,21,545,15014,1849
39,Antioquia,,Yarumal,Norte,2266,14,724,41884,1787
40,Antioquia,,Abriaquí,Occidente,1911,"17,5",290,2807,1821
41,Antioquia,,Santa Fe de Antioquia,Occidente,571,"26,7",499,28421,1541
42,Antioquia,,Anzá,Occidente,648,26,256,7681,1757
43,Antioquia,,Armenia,Occidente,1811,18,111,5310,1864
44,Antioquia,,Buriticá,Occidente,1636,19,368,11015,1614
45,Antioquia,,Caicedo,Occidente,1800,19,221,9107,1870
46,Antioquia,,Cañasgordas,Occidente,1265,21,391,15470,1782
47,Antioquia,,Dabeiba,Occidente,417,27,1883,24808,1850
48,Antioquia,,Ebéjico,Occidente,1155,24,235,12612,1830
49,Antioquia,,Frontino,Occidente,1390,21,1236,21778,1806
50,Antioquia,,Giraldo,Occidente,1972,17,96,6404,1805
51,Antioquia,,Heliconia,Occidente,1386,21,117,5038,1814
52,Antioquia,,Liborina,Occidente,705,24,217,10854,1832
53,Antioquia,,Olaya,Occidente,500,26,90,3469,1773
54,Antioquia,,Peque,Occidente,1206,22,392,8782,1868
55,Antioquia,,Sabanalarga,Occidente,860,25,256,9909,1616
56,Antioquia,,San Jerónimo,Occidente,735,25,155,18345,1616
57,Antioquia,,Sopetrán,Occidente,753,25,223,16523,1616
58,Antioquia,,Uramita,Occidente,647,25,236,7455,1875
59,Antioquia,,Abejorral,Oriente,2175,16,497,21147,1805
60,Antioquia,,Alejandría,Oriente,1648,19,151,5285,1886
61,Antioquia,,Argelia,Oriente,1757,18,257,8215,1891
62,Antioquia,,El Carmen de Viboral,Oriente,2150,17,448,69588,1800
63,Antioquia,,Cocorná,Oriente,1301,23,210,16089,1793
64,Antioquia,,Concepción,Oriente,1853,19,167,5112,1771
65,Antioquia,,El Peñol,Oriente,1963,18,143,23827,1714
66,Antioquia,,El Retiro,Oriente,2175,16,273,27218,1790
67,Antioquia,,El Santuario,Oriente,2125,17,75,39984,1775
68,Antioquia,,Granada,Oriente,2077,17,183,10511,1807
69,Antioquia,,Guarne,Oriente,2141,17,151,65173,1757
70,Antioquia,,Guatapé,Oriente,1890,19,69,9695,1811
71,Antioquia,,La Ceja,Oriente,2146,16,131,73275,1789
72,Antioquia,,La Unión,Oriente,2475,13,198,24057,1778
73,Antioquia,,Marinilla,Oriente,2089,17,115,74390,1690
74,Antioquia,,Nariño,Oriente,1650,20,313,11000,1827
75,Antioquia,,Rionegro,Oriente,2092,17,196,154192,1663
76,Antioquia,,San Carlos,Oriente,993,23,702,16938,1786
77,Antioquia,,San Francisco,Oriente,1276,23,372,6058,1830
78,Antioquia,,San Luis,Oriente,1075,24,516,14447,1875
79,Antioquia,,San Rafael,Oriente,1010,24,362,17411,1864
80,Antioquia,,San Vicente Ferrer,Oriente,2157,17,243,24776,1776
81,Antioquia,,Sonsón,Oriente,2482,13,1323,35980,1800
82,Antioquia,,Amagá,Suroeste,1424,21,85,32858,1788
83,Antioquia,,Andes,Suroeste,1300,"21,2",449,45367,1852
84,Antioquia,,Angelópolis,Suroeste,1914,"17,5",87,6203,1887
85,Antioquia,,Betania,Suroeste,1555,20,170,10751,1889
86,Antioquia,,Betulia,Suroeste,1642,"19,5",255,16980,1848
87,Antioquia,,Caramanta,Suroeste,2113,17,86,4499,1557
88,Antioquia,,Ciudad Bolívar,Suroeste,1181,22,285,27573,1839
89,Antioquia,,Concordia,Suroeste,1972,19,231,22163,1830
90,Antioquia,,Fredonia,Suroeste,1815,20,247,26401,1790
91,Antioquia,,Hispania,Suroeste,976,24,58,5929,1925
92,Antioquia,,Jardín,Suroeste,1770,19,224,15433,1863
93,Antioquia,,Jericó,Suroeste,1976,18,193,14373,1851
94,Antioquia,,La Pintada,Suroeste,590,25,55,8654,1815
95,Antioquia,,Montebello,Suroeste,2350,15,86,6538,1876
96,Antioquia,,Pueblorrico,Suroeste,1794,19,86,9053,1866
97,Antioquia,,Salgar,Suroeste,1290,23,418,18925,1880
98,Antioquia,,Santa Bárbara,Suroeste,1804,19,185,29470,1774
99,Antioquia,,Támesis,Suroeste,1620,21,245,16674,1858
100,Antioquia,,Tarso,Suroeste,1339,22,119,6556,1912
101,Antioquia,,Titiribí,Suroeste,1538,21,142,11537,1775
102,Antioquia,,Urrao,Suroeste,1800,20,2556,31988,1781
