codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,alcalde_actual,bandera_url,sitios_turisticos,hoteles,hospedajes,contacto_hoteles,festividad_nombre,festividad_fecha_inicio,festividad_fecha_fin,festividad_fecha_texto,resena_festividad,fuente_base,fuente_festividad,fuente_turismo,fuente_hoteles,fuente_alcalde,observaciones,estado_revision
91263,Amazonas,El Encanto,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91405,Amazonas,La Chorrera,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91407,Amazonas,La Pedrera,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91430,Amazonas,La Victoria,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91001,Amazonas,Leticia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91460,Amazonas,Miriti - Paraná,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91530,Amazonas,Puerto Alegría,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91536,Amazonas,Puerto Arica,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91540,Amazonas,Puerto Nariño,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91669,Amazonas,Puerto Santander,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
91798,Amazonas,Tarapacá,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05002,Antioquia,Abejorral,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05004,Antioquia,Abriaquí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05021,Antioquia,Alejandría,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05030,Antioquia,Amagá,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05031,Antioquia,Amalfi,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05034,Antioquia,Andes,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05036,Antioquia,Angelópolis,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05038,Antioquia,Angostura,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05040,Antioquia,Anorí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05044,Antioquia,Anza,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05045,Antioquia,Apartadó,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05051,Antioquia,Arboletes,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05055,Antioquia,Argelia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05059,Antioquia,Armenia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05079,Antioquia,Barbosa,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05088,Antioquia,Bello,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05086,Antioquia,Belmira,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05091,Antioquia,Betania,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05093,Antioquia,Betulia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05107,Antioquia,Briceño,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05113,Antioquia,Buriticá,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05120,Antioquia,Cáceres,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05125,Antioquia,Caicedo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05129,Antioquia,Caldas,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05134,Antioquia,Campamento,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05138,Antioquia,Cañasgordas,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05142,Antioquia,Caracolí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05145,Antioquia,Caramanta,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05147,Antioquia,Carepa,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05150,Antioquia,Carolina,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05154,Antioquia,Caucasia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05172,Antioquia,Chigorodó,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05190,Antioquia,Cisneros,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05101,Antioquia,Ciudad Bolívar,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05197,Antioquia,Cocorná,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05206,Antioquia,Concepción,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05209,Antioquia,Concordia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05212,Antioquia,Copacabana,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05234,Antioquia,Dabeiba,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05237,Antioquia,Don Matías,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05240,Antioquia,Ebéjico,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05250,Antioquia,El Bagre,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05148,Antioquia,El Carmen de Viboral,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05697,Antioquia,El Santuario,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05264,Antioquia,Entrerrios,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05266,Antioquia,Envigado,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05282,Antioquia,Fredonia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05284,Antioquia,Frontino,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05306,Antioquia,Giraldo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05308,Antioquia,Girardota,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05310,Antioquia,Gómez Plata,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05313,Antioquia,Granada,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05315,Antioquia,Guadalupe,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05318,Antioquia,Guarne,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05321,Antioquia,Guatapé,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05347,Antioquia,Heliconia,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05353,Antioquia,Hispania,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05360,Antioquia,Itagui,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05361,Antioquia,Ituango,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05364,Antioquia,Jardín,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05368,Antioquia,Jericó,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05376,Antioquia,La Ceja,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05380,Antioquia,La Estrella,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05390,Antioquia,La Pintada,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05400,Antioquia,La Unión,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05411,Antioquia,Liborina,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05425,Antioquia,Maceo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05440,Antioquia,Marinilla,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05001,Antioquia,Medellín,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05467,Antioquia,Montebello,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05475,Antioquia,Murindó,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05480,Antioquia,Mutatá,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05483,Antioquia,Nariño,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05495,Antioquia,Nechí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05490,Antioquia,Necoclí,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05501,Antioquia,Olaya,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05541,Antioquia,Peñol,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05543,Antioquia,Peque,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05576,Antioquia,Pueblorrico,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
05579,Antioquia,Puerto Berrío,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
