municipio,departamento,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3
"Medellín","Antioquia","Medellín","https://www.google.com/maps?q=6.2476376,-75.56581530000001","","","","","Natural Hotel","https://wa.me/573024449934","Socialtel Provenza Medellin","https://wa.me/573502717217","ibis Medellin","https://wa.me/573502138586"
"Cartagena","Bolívar","Cartagena","https://www.google.com/maps?q=10.3932277,-75.4832311","","","","","Hotel cartagena DC","https://wa.me/573217384929","Hotel Dann Cartagena","https://wa.me/576056932222","Hotel Summer","https://wa.me/573174286518"
"Barranquilla","Atlántico","Barranquilla","https://www.google.com/maps?q=11.0041072,-74.80698129999999","","","","","ibis budget Barranquilla","https://wa.me/576053100838","Barranquilla Plaza Hotel","https://wa.me/573610000","ibis Barranquilla","https://wa.me/576053854060"
"Abejorral","Antioquia","Abejorral, Parque Principal","https://www.google.com/maps?q=5.7917201,-75.42786219999999","Salto del Rio Aures","https://www.google.com/maps?q=5.760603,-75.3681039","Los Saltos Ecoparque","https://www.google.com/maps?q=5.9310049,-75.4498256","Hotel Colonial Abejorral | Hotel Boutique | Café Bar | Restaurante Colombiano","https://wa.me/573136428998","Casa Patrimonial Abejorral - Posada turística","https://wa.me/573216449115","HOTEL BOUTIQUE SAGRADO CORAZON","https://wa.me/573108607280"
"El Encanto","Amazonas","El ENCANTO AMAZONAS","https://www.google.com/maps?q=-1.7476642,-73.2095989","","","","","Biohotel Arara River","https://wa.me/573208279730","Hospedaje La Ceiba Amazonas","https://wa.me/573213119673","Amazona Lodge","https://wa.me/573132463129"
"La Chorrera","Amazonas","Aventura La Chorrera Park","https://www.google.com/maps?q=4.5874282,-73.95121259999999","Cascada La Chorrera","https://www.google.com/maps?q=4.5956884,-73.9577947","La Chorrera Waterfall","https://www.google.com/maps?q=6.5277006,-72.64968999999999","Hotel Alto Amazonas","https://wa.me/573219919746","Hospedaje La Ceiba Amazonas","https://wa.me/573213119673","Waldor's Hotel Boutique","https://wa.me/573207286616"
"Arauca","Arauca","Bolívar Park","https://www.google.com/maps?q=7.0851965,-70.7577896","Catedral Santa Bárbara de Arauca","https://www.google.com/maps?q=7.0854778,-70.7573163","MONUMENTO AL BAILE DEL JOROPO","https://www.google.com/maps?q=7.0819344,-70.7434238","HOTEL QUINTA DEL SOL","https://wa.me/573175997074","HOTEL SANBARA","https://wa.me/576078858843","Hotel Punta Arena","https://wa.me/576078852051"
"Arauquita","Arauca","Malecón Mirador Turístico","https://www.google.com/maps?q=7.0262563,-71.4336617","Monumento al Cacao Park","https://www.google.com/maps?q=7.0215315,-71.38472510000001","monumento al cacao Park","https://www.google.com/maps?q=7.0283699,-71.42362059999999","Hotel Oiti","https://wa.me/573222837257","Hotel DANUBIO AZUL","https://wa.me/573183529389","HOTEL QUINTA DEL SOL","https://wa.me/573175997074"
"Providencia","Archipiélago De San Andrés","San Andres and Providencia","https://www.google.com/maps?q=12.5567324,-81.7185253","Morgan's Head","https://www.google.com/maps?q=13.3859252,-81.3807758","Laguna Big Pond","https://www.google.com/maps?q=12.548587,-81.7196114","Posada Old Town Bay","https://wa.me/573164507893","South West Bay Cabañas","https://wa.me/573133272901","Three Cay Suites","https://wa.me/573156356037"
"San Andrés","Archipiélago De San Andrés","San Andrés","https://www.google.com/maps?q=12.576855,-81.705052","","","","","Hotel Casablanca","https://wa.me/573330334148","Dreamer Beach Club","https://wa.me/573006097229","Hotel Arena Blanca","https://wa.me/576085131199"
"Baranoa","Atlántico","Espejo de Agua Park","https://www.google.com/maps?q=10.8028076,-74.9149669","Ranch Texas","https://www.google.com/maps?q=10.8401518,-74.901386","Plaza Mayor de Baranoa","https://www.google.com/maps?q=10.7961959,-74.9142638","Hotel Paranawa","https://wa.me/573164061158","Hotel Boutique Campanario Del Río","https://wa.me/573012964355","Hotel Manzanares","https://wa.me/573046234310"
"D.C.""","""Bogotá","Plaza de Bolívar","https://www.google.com/maps?q=4.5981898,-74.076053","Plazoleta Chorro de Quevedo","https://www.google.com/maps?q=4.5971962,-74.0697697","National Capitol","https://www.google.com/maps?q=4.5971625,-74.0766565","Hotel Casa Botero","https://wa.me/573182795840","Hotel Santa Cruz Bogotá","https://wa.me/573102734417","Hotel Lancaster House Suites","https://wa.me/576016291100"
