Codigo_id,departamento,municipio,Subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,codigo_dane
"11001","Bogotá, D.C.","Bogotá, D.C.","","","","","","","","","","","","","","","","","","","11001"
"13001","Bolívar","Cartagena","","","","","","","","","","","","","","","","","","","13001"
"13006","Bolívar","Achí","","","","","","","","","","","","","","","","","","","13006"
"13030","Bolívar","Altos del Rosario","","","","","","","","","","","","","","","","","","","13030"
"13042","Bolívar","Arenal","","","","","","","","","","","","","","","","","","","13042"
"13052","Bolívar","Arjona","","","","","","","","","","","","","","","","","","","13052"
"13062","Bolívar","Arroyohondo","","","","","","","","","","","","","","","","","","","13062"
"13074","Bolívar","Barranco de Loba","","","","","","","","","","","","","","","","","","","13074"
"13140","Bolívar","Calamar","","","","","","","","","","","","","","","","","","","13140"
"13160","Bolívar","Cantagallo","","","","","","","","","","","","","","","","","","","13160"
"13188","Bolívar","Cicuco","","","","","","","","","","","","","","","","","","","13188"
"13212","Bolívar","Córdoba","","","","","","","","","","","","","","","","","","","13212"
"13222","Bolívar","Clemencia","","","","","","","","","","","","","","","","","","","13222"
"13244","Bolívar","El Carmen de Bolívar","","","","","","","","","","","","","","","","","","","13244"
"13248","Bolívar","El Guamo","","","","","","","","","","","","","","","","","","","13248"
"13268","Bolívar","El Peñón","","","","","","","","","","","","","","","","","","","13268"
"13300","Bolívar","Hatillo de Loba","","","","","","","","","","","","","","","","","","","13300"
"13430","Bolívar","Magangué","","","","","","","","","","","","","","","","","","","13430"
"13433","Bolívar","Mahates","","","","","","","","","","","","","","","","","","","13433"
"13440","Bolívar","Margarita","","","","","","","","","","","","","","","","","","","13440"
"13442","Bolívar","María La Baja","","","","","","","","","","","","","","","","","","","13442"
"13458","Bolívar","Montecristo","","","","","","","","","","","","","","","","","","","13458"
"13468","Bolívar","Mompós","","","","","","","","","","","","","","","","","","","13468"
"13473","Bolívar","Morales","","","","","","","","","","","","","","","","","","","13473"
"13549","Bolívar","Pinillos","","","","","","","","","","","","","","","","","","","13549"
"13580","Bolívar","Regidor","","","","","","","","","","","","","","","","","","","13580"
"13600","Bolívar","Río Viejo","","","","","","","","","","","","","","","","","","","13600"
"13620","Bolívar","San Cristóbal","","","","","","","","","","","","","","","","","","","13620"
"13647","Bolívar","San Estanislao","","","","","","","","","","","","","","","","","","","13647"
"13650","Bolívar","San Fernando","","","","","","","","","","","","","","","","","","","13650"
"13654","Bolívar","San Jacinto","","","","","","","","","","","","","","","","","","","13654"
"13655","Bolívar","San Jacinto del Cauca","","","","","","","","","","","","","","","","","","","13655"
"13657","Bolívar","San Juan Nepomuceno","","","","","","","","","","","","","","","","","","","13657"
"13667","Bolívar","San Martín de Loba","","","","","","","","","","","","","","","","","","","13667"
"13670","Bolívar","San Pablo","","","","","","","","","","","","","","","","","","","13670"
"13673","Bolívar","Santa Catalina","","","","","","","","","","","","","","","","","","","13673"
"13683","Bolívar","Santa Rosa","","","","","","","","","","","","","","","","","","","13683"
"13688","Bolívar","Santa Rosa del Sur","","","","","","","","","","","","","","","","","","","13688"
"13744","Bolívar","Simití","","","","","","","","","","","","","","","","","","","13744"
"13760","Bolívar","Soplaviento","","","","","","","","","","","","","","","","","","","13760"
"13780","Bolívar","Talaigua Nuevo","","","","","","","","","","","","","","","","","","","13780"
"13810","Bolívar","Tiquisio","","","","","","","","","","","","","","","","","","","13810"
"13836","Bolívar","Turbaco","","","","","","","","","","","","","","","","","","","13836"
"13838","Bolívar","Turbaná","","","","","","","","","","","","","","","","","","","13838"
"13873","Bolívar","Villanueva","","","","","","","","","","","","","","","","","","","13873"
"13894","Bolívar","Zambrano","","","","","","","","","","","","","","","","","","","13894"
"15001","Boyacá","Tunja","","","","","","","","","","","","","","","","","","","15001"
"15022","Boyacá","Almeida","","","","","","","","","","","","","","","","","","","15022"
"15047","Boyacá","Aquitania","","","","","","","","","","","","","","","","","","","15047"
"15051","Boyacá","Arcabuco","","","","","","","","","","","","","","","","","","","15051"
"15087","Boyacá","Belén","","","","","","","","","","","","","","","","","","","15087"
"15090","Boyacá","Berbeo","","","","","","","","","","","","","","","","","","","15090"
"15092","Boyacá","Betéitiva","","","","","","","","","","","","","","","","","","","15092"
"15097","Boyacá","Boavita","","","","","","","","","","","","","","","","","","","15097"
"15104","Boyacá","Boyacá","","","","","","","","","","","","","","","","","","","15104"
"15106","Boyacá","Briceño","","","","","","","","","","","","","","","","","","","15106"
"15109","Boyacá","Buenavista","","","","","","","","","","","","","","","","","","","15109"
"15114","Boyacá","Busbanzá","","","","","","","","","","","","","","","","","","","15114"
"15131","Boyacá","Caldas","","","","","","","","","","","","","","","","","","","15131"
"15135","Boyacá","Campohermoso","","","","","","","","","","","","","","","","","","","15135"
"15162","Boyacá","Cerinza","","","","","","","","","","","","","","","","","","","15162"
"15172","Boyacá","Chinavita","","","","","","","","","","","","","","","","","","","15172"
"15176","Boyacá","Chiquinquirá","","","","","","","","","","","","","","","","","","","15176"
"15180","Boyacá","Chiscas","","","","","","","","","","","","","","","","","","","15180"
"15183","Boyacá","Chita","","","","","","","","","","","","","","","","","","","15183"
"15185","Boyacá","Chitaraque","","","","","","","","","","","","","","","","","","","15185"
"15187","Boyacá","Chivatá","","","","","","","","","","","","","","","","","","","15187"
"15189","Boyacá","Ciénega","","","","","","","","","","","","","","","","","","","15189"
"15204","Boyacá","Cómbita","","","","","","","","","","","","","","","","","","","15204"
"15212","Boyacá","Coper","","","","","","","","","","","","","","","","","","","15212"
"15215","Boyacá","Corrales","","","","","","","","","","","","","","","","","","","15215"
"15218","Boyacá","Covarachía","","","","","","","","","","","","","","","","","","","15218"
"15223","Boyacá","Cubará","","","","","","","","","","","","","","","","","","","15223"
"15224","Boyacá","Cucaita","","","","","","","","","","","","","","","","","","","15224"
"15226","Boyacá","Cuítiva","","","","","","","","","","","","","","","","","","","15226"
"15232","Boyacá","Chíquiza","","","","","","","","","","","","","","","","","","","15232"
"15236","Boyacá","Chivor","","","","","","","","","","","","","","","","","","","15236"
"15238","Boyacá","Duitama","","","","","","","","","","","","","","","","","","","15238"
"15244","Boyacá","El Cocuy","","","","","","","","","","","","","","","","","","","15244"
"15248","Boyacá","El Espino","","","","","","","","","","","","","","","","","","","15248"
"15272","Boyacá","Firavitoba","","","","","","","","","","","","","","","","","","","15272"
"15276","Boyacá","Floresta","","","","","","","","","","","","","","","","","","","15276"
"15293","Boyacá","Gachantivá","","","","","","","","","","","","","","","","","","","15293"
"15296","Boyacá","Gameza","","","","","","","","","","","","","","","","","","","15296"
"15299","Boyacá","Garagoa","","","","","","","","","","","","","","","","","","","15299"
"15317","Boyacá","Guacamayas","","","","","","","","","","","","","","","","","","","15317"
"15322","Boyacá","Guateque","","","","","","","","","","","","","","","","","","","15322"
"15325","Boyacá","Guayatá","","","","","","","","","","","","","","","","","","","15325"
"15332","Boyacá","Güicán","","","","","","","","","","","","","","","","","","","15332"
"15362","Boyacá","Iza","","","","","","","","","","","","","","","","","","","15362"
"15367","Boyacá","Jenesano","","","","","","","","","","","","","","","","","","","15367"
"15368","Boyacá","Jericó","","","","","","","","","","","","","","","","","","","15368"
"15377","Boyacá","Labranzagrande","","","","","","","","","","","","","","","","","","","15377"
"15380","Boyacá","La Capilla","","","","","","","","","","","","","","","","","","","15380"
"15401","Boyacá","La Victoria","","","","","","","","","","","","","","","","","","","15401"
"15403","Boyacá","La Uvita","","","","","","","","","","","","","","","","","","","15403"
"15407","Boyacá","Villa de Leyva","","","","","","","","","","","","","","","","","","","15407"
"15425","Boyacá","Macanal","","","","","","","","","","","","","","","","","","","15425"
"15442","Boyacá","Maripí","","","","","","","","","","","","","","","","","","","15442"
"15455","Boyacá","Miraflores","","","","","","","","","","","","","","","","","","","15455"
"15464","Boyacá","Mongua","","","","","","","","","","","","","","","","","","","15464"
"15466","Boyacá","Monguí","","","","","","","","","","","","","","","","","","","15466"
"15469","Boyacá","Moniquirá","","","","","","","","","","","","","","","","","","","15469"
"15476","Boyacá","Motavita","","","","","","","","","","","","","","","","","","","15476"
"15480","Boyacá","Muzo","","","","","","","","","","","","","","","","","","","15480"
"15491","Boyacá","Nobsa","","","","","","","","","","","","","","","","","","","15491"
"15494","Boyacá","Nuevo Colón","","","","","","","","","","","","","","","","","","","15494"
