nombre,municipio,departamento,codigo_dane
"Fiestas de Chinú","Chinú","Córdoba","23182"
"Fiestas de Ciénaga de Oro","Ciénaga de Oro","Córdoba","23189"
"Fiestas de Cotorra","Cotorra","Córdoba","23300"
"Fiestas de La Apartada","La Apartada","Córdoba","23350"
"Fiestas de Lorica","Lorica","Córdoba","23417"
"Fiestas de Los Córdobas","Los Córdobas","Córdoba","23419"
"Fiestas de Momil","Momil","Córdoba","23464"
"Fiestas de Moñitos","Moñitos","Córdoba","23500"
"Fiestas de Montelíbano","Montelíbano","Córdoba","23466"
"Fiestas de Montería","Montería","Córdoba","23001"
"Fiestas de Planeta Rica","Planeta Rica","Córdoba","23555"
"Fiestas de Pueblo Nuevo","Pueblo Nuevo","Córdoba","23570"
"Fiestas de Puerto Escondido","Puerto Escondido","Córdoba","23574"
"Fiestas de Puerto Libertador","Puerto Libertador","Córdoba","23580"
"Fiestas de Purísima","Purísima","Córdoba","23586"
"Fiestas de Sahagún","Sahagún","Córdoba","23660"
"Fiestas de San Andrés Sotavento","San Andrés Sotavento","Córdoba","23670"
"Fiestas de San Antero","San Antero","Córdoba","23672"
"Fiestas de San Bernardo del Viento","San Bernardo del Viento","Córdoba","23675"
"Fiestas de San Carlos","San Carlos","Córdoba","23678"
"Fiestas de San Pelayo","San Pelayo","Córdoba","23686"
"Fiestas de Tierralta","Tierralta","Córdoba","23807"
"Fiestas de Valencia","Valencia","Córdoba","23855"
"Fiestas de Agua de Dios","Agua de Dios","Cundinamarca","25001"
"Fiestas de Albán","Albán","Cundinamarca","25019"
"Fiestas de Anapoima","Anapoima","Cundinamarca","25035"
"Fiestas de Anolaima","Anolaima","Cundinamarca","25040"
"Fiestas de Apulo","Apulo","Cundinamarca","25599"
"Fiestas de Arbeláez","Arbeláez","Cundinamarca","25053"
"Fiestas de Beltrán","Beltrán","Cundinamarca","25086"
"Fiestas de Bituima","Bituima","Cundinamarca","25095"
"Fiestas de Bojacá","Bojacá","Cundinamarca","25099"
"Fiestas de Cabrera","Cabrera","Cundinamarca","25120"
