nombre,municipio,departamento,codigo_dane
"Fiestas de El Encanto","El Encanto","Amazonas","91263"
"Fiestas de La Chorrera","La Chorrera","Amazonas","91405"
"Fiestas de La Pedrera","La Pedrera","Amazonas","91407"
"Fiestas de La Victoria","La Victoria","Amazonas","91430"
"Fiestas de Leticia","Leticia","Amazonas","91001"
"Fiestas de Miriti - Paraná","Miriti - Paraná","Amazonas","91460"
"Fiestas de Puerto Alegría","Puerto Alegría","Amazonas","91530"
"Fiestas de Puerto Arica","Puerto Arica","Amazonas","91536"
"Fiestas de Puerto Nariño","Puerto Nariño","Amazonas","91540"
"Fiestas de Puerto Santander","Puerto Santander","Amazonas","91669"
"Fiestas de Tarapacá","Tarapacá","Amazonas","91798"
"Fiestas de Abejorral","Abejorral","Antioquia","05002"
"Fiestas de Abriaquí","Abriaquí","Antioquia","05004"
"Fiestas de Alejandría","Alejandría","Antioquia","05021"
"Fiestas de Amagá","Amagá","Antioquia","05030"
"Fiestas de Amalfi","Amalfi","Antioquia","05031"
"Fiestas de Andes","Andes","Antioquia","05034"
"Fiestas de Angelópolis","Angelópolis","Antioquia","05036"
"Fiestas de Angostura","Angostura","Antioquia","05038"
"Fiestas de Anorí","Anorí","Antioquia","05040"
"Fiestas de Anza","Anza","Antioquia","05044"
"Fiestas de Apartadó","Apartadó","Antioquia","05045"
"Fiestas de Arboletes","Arboletes","Antioquia","05051"
"Fiestas de Argelia","Argelia","Antioquia","05055"
"Fiestas de Armenia","Armenia","Antioquia","05059"
"Fiestas de Barbosa","Barbosa","Antioquia","05079"
"Fiestas de Bello","Bello","Antioquia","05088"
"Fiestas de Belmira","Belmira","Antioquia","05086"
"Fiestas de Betania","Betania","Antioquia","05091"
"Fiestas de Betulia","Betulia","Antioquia","05093"
"Fiestas de Briceño","Briceño","Antioquia","05107"
"Fiestas de Buriticá","Buriticá","Antioquia","05113"
"Fiestas de Cáceres","Cáceres","Antioquia","05120"
"Fiestas de Caicedo","Caicedo","Antioquia","05125"
"Fiestas de Caldas","Caldas","Antioquia","05129"
"Fiestas de Campamento","Campamento","Antioquia","05134"
"Fiestas de Cañasgordas","Cañasgordas","Antioquia","05138"
"Fiestas de Caracolí","Caracolí","Antioquia","05142"
"Fiestas de Caramanta","Caramanta","Antioquia","05145"
"Fiestas de Carepa","Carepa","Antioquia","05147"
"Fiestas de Carolina","Carolina","Antioquia","05150"
"Fiestas de Caucasia","Caucasia","Antioquia","05154"
"Fiestas de Chigorodó","Chigorodó","Antioquia","05172"
"Fiestas de Cisneros","Cisneros","Antioquia","05190"
"Fiestas de Ciudad Bolívar","Ciudad Bolívar","Antioquia","05101"
"Fiestas de Cocorná","Cocorná","Antioquia","05197"
"Fiestas de Concepción","Concepción","Antioquia","05206"
"Fiestas de Concordia","Concordia","Antioquia","05209"
"Fiestas de Copacabana","Copacabana","Antioquia","05212"
"Fiestas de Dabeiba","Dabeiba","Antioquia","05234"
"Fiestas de Don Matías","Don Matías","Antioquia","05237"
"Fiestas de Ebéjico","Ebéjico","Antioquia","05240"
"Fiestas de El Bagre","El Bagre","Antioquia","05250"
"Fiestas de El Carmen de Viboral","El Carmen de Viboral","Antioquia","05148"
"Fiestas de El Santuario","El Santuario","Antioquia","05697"
"Fiestas de Entrerrios","Entrerrios","Antioquia","05264"
"Fiestas de Envigado","Envigado","Antioquia","05266"
"Fiestas de Fredonia","Fredonia","Antioquia","05282"
"Fiestas de Frontino","Frontino","Antioquia","05284"
"Fiestas de Giraldo","Giraldo","Antioquia","05306"
"Fiestas de Girardota","Girardota","Antioquia","05308"
"Fiestas de Gómez Plata","Gómez Plata","Antioquia","05310"
"Fiestas de Granada","Granada","Antioquia","05313"
"Fiestas de Guadalupe","Guadalupe","Antioquia","05315"
"Fiestas de Guarne","Guarne","Antioquia","05318"
"Fiestas de Guatapé","Guatapé","Antioquia","05321"
"Fiestas de Heliconia","Heliconia","Antioquia","05347"
"Fiestas de Hispania","Hispania","Antioquia","05353"
"Fiestas de Itagui","Itagui","Antioquia","05360"
"Fiestas de Ituango","Ituango","Antioquia","05361"
"Fiestas de Jardín","Jardín","Antioquia","05364"
"Fiestas de Jericó","Jericó","Antioquia","05368"
"Fiestas de La Ceja","La Ceja","Antioquia","05376"
"Fiestas de La Estrella","La Estrella","Antioquia","05380"
"Fiestas de La Pintada","La Pintada","Antioquia","05390"
"Fiestas de La Unión","La Unión","Antioquia","05400"
"Fiestas de Liborina","Liborina","Antioquia","05411"
"Fiestas de Maceo","Maceo","Antioquia","05425"
"Fiestas de Marinilla","Marinilla","Antioquia","05440"
"Fiestas de Medellín","Medellín","Antioquia","05001"
"Fiestas de Montebello","Montebello","Antioquia","05467"
"Fiestas de Murindó","Murindó","Antioquia","05475"
"Fiestas de Mutatá","Mutatá","Antioquia","05480"
"Fiestas de Nariño","Nariño","Antioquia","05483"
"Fiestas de Nechí","Nechí","Antioquia","05495"
"Fiestas de Necoclí","Necoclí","Antioquia","05490"
"Fiestas de Olaya","Olaya","Antioquia","05501"
"Fiestas de Peñol","Peñol","Antioquia","05541"
"Fiestas de Peque","Peque","Antioquia","05543"
"Fiestas de Pueblorrico","Pueblorrico","Antioquia","05576"
"Fiestas de Puerto Berrío","Puerto Berrío","Antioquia","05579"
"Fiestas de Puerto Nare","Puerto Nare","Antioquia","05585"
"Fiestas de Puerto Triunfo","Puerto Triunfo","Antioquia","05591"
"Fiestas de Remedios","Remedios","Antioquia","05604"
"Fiestas de Retiro","Retiro","Antioquia","05607"
"Fiestas de Rionegro","Rionegro","Antioquia","05615"
"Fiestas de Sabanalarga","Sabanalarga","Antioquia","05628"
"Fiestas de Sabaneta","Sabaneta","Antioquia","05631"
"Fiestas de Salgar","Salgar","Antioquia","05642"
"Fiestas de San Andrés de Cuerquía","San Andrés de Cuerquía","Antioquia","05647"
"Fiestas de San Carlos","San Carlos","Antioquia","05649"
"Fiestas de San Francisco","San Francisco","Antioquia","05652"
"Fiestas de San Jerónimo","San Jerónimo","Antioquia","05656"
"Fiestas de San José de La Montaña","San José de La Montaña","Antioquia","05658"
"Fiestas de San Juan de Urabá","San Juan de Urabá","Antioquia","05659"
"Fiestas de San Luis","San Luis","Antioquia","05660"
"Fiestas de San Pedro","San Pedro","Antioquia","05664"
"Fiestas de San Pedro de Uraba","San Pedro de Uraba","Antioquia","05665"
"Fiestas de San Rafael","San Rafael","Antioquia","05667"
"Fiestas de San Roque","San Roque","Antioquia","05670"
"Fiestas de Santa Bárbara","Santa Bárbara","Antioquia","05679"
"Fiestas de Santafé de Antioquia","Santafé de Antioquia","Antioquia","05042"
"Fiestas de Santa Rosa de Osos","Santa Rosa de Osos","Antioquia","05686"
"Fiestas de Santo Domingo","Santo Domingo","Antioquia","05690"
"Fiestas de San Vicente","San Vicente","Antioquia","05674"
"Fiestas de Segovia","Segovia","Antioquia","05736"
"Fiestas de Sonson","Sonson","Antioquia","05756"
"Fiestas de Sopetrán","Sopetrán","Antioquia","05761"
"Fiestas de Támesis","Támesis","Antioquia","05789"
"Fiestas de Tarazá","Tarazá","Antioquia","05790"
"Fiestas de Tarso","Tarso","Antioquia","05792"
"Fiestas de Titiribí","Titiribí","Antioquia","05809"
"Fiestas de Toledo","Toledo","Antioquia","05819"
"Fiestas de Turbo","Turbo","Antioquia","05837"
"Fiestas de Uramita","Uramita","Antioquia","05842"
"Fiestas de Urrao","Urrao","Antioquia","05847"
"Fiestas de Valdivia","Valdivia","Antioquia","05854"
"Fiestas de Valparaíso","Valparaíso","Antioquia","05856"
"Fiestas de Vegachí","Vegachí","Antioquia","05858"
"Fiestas de Venecia","Venecia","Antioquia","05861"
"Fiestas de Vigía del Fuerte","Vigía del Fuerte","Antioquia","05873"
"Fiestas de Yalí","Yalí","Antioquia","05885"
"Fiestas de Yarumal","Yarumal","Antioquia","05887"
"Fiestas de Yolombó","Yolombó","Antioquia","05890"
"Fiestas de Yondó","Yondó","Antioquia","05893"
"Fiestas de Zaragoza","Zaragoza","Antioquia","05895"
"Fiestas de Arauca","Arauca","Arauca","81001"
"Fiestas de Arauquita","Arauquita","Arauca","81065"
"Fiestas de Cravo Norte","Cravo Norte","Arauca","81220"
"Fiestas de Fortul","Fortul","Arauca","81300"
"Fiestas de Puerto Rondón","Puerto Rondón","Arauca","81591"
"Fiestas de Saravena","Saravena","Arauca","81736"
"Fiestas de Tame","Tame","Arauca","81794"
"Fiestas de Providencia","Providencia","Archipiélago De San Andrés","88564"
"Fiestas de San Andrés","San Andrés","Archipiélago De San Andrés","88001"
"Fiestas de Baranoa","Baranoa","Atlántico","08078"
"Fiestas de Barranquilla","Barranquilla","Atlántico","08001"
"Fiestas de Campo de La Cruz","Campo de La Cruz","Atlántico","08137"
"Fiestas de Candelaria","Candelaria","Atlántico","08141"
"Fiestas de Galapa","Galapa","Atlántico","08296"
"Fiestas de Juan de Acosta","Juan de Acosta","Atlántico","08372"
