codigo_dane,municipio,departamento,nombre_festival,date_start,date_end,year,descripcion,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,source_type,verified
"70124","","","Fiestas de Caimito","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"05895","","","Fiestas de Zaragoza","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"08078","","","Fiestas de Baranoa","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"08137","","","Fiestas de Campo de La Cruz","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"08141","","","Fiestas de Candelaria","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"08296","","","Fiestas de Galapa","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"08372","","","Fiestas de Juan de Acosta","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"08421","","","Fiestas de Luruaco","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"76845","","","Fiestas de Ulloa","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"76869","","","Fiestas de Vijes","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"76890","","","Fiestas de Yotoco","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"76892","","","Fiestas de Yumbo","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"76895","","","Fiestas de Zarzal","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"81065","","","Fiestas de Arauquita","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"81220","","","Fiestas de Cravo Norte","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"81300","","","Fiestas de Fortul","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"81591","","","Fiestas de Puerto Rondón","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"81736","","","Fiestas de Saravena","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"81794","","","Fiestas de Tame","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85010","","","Fiestas de Aguazul","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85015","","","Fiestas de Chameza","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85125","","","Fiestas de Hato Corozal","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85136","","","Fiestas de La Salina","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85139","","","Fiestas de Maní","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85162","","","Fiestas de Monterrey","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85230","","","Fiestas de Orocué","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85250","","","Fiestas de Paz de Ariporo","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85263","","","Fiestas de Pore","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85279","","","Fiestas de Recetor","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85300","","","Fiestas de Sabanalarga","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85315","","","Fiestas de Sácama","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85325","","","Fiestas de San Luis de Palenque","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85400","","","Fiestas de Támara","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85410","","","Fiestas de Tauramena","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85430","","","Fiestas de Trinidad","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"85440","","","Fiestas de Villanueva","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86219","","","Fiestas de Colón","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86320","","","Fiestas de Orito","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86568","","","Fiestas de Puerto Asís","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86569","","","Fiestas de Puerto Caicedo","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86573","","","Fiestas de Leguízamo","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86749","","","Fiestas de Sibundoy","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86755","","","Fiestas de San Francisco","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
"86757","","","Fiestas de San Miguel","","","2026","Fecha referencial: Por definir","","","","","","","","","","","","","base","false"
