codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"05001","Antioquia","Medellín","Antioquia","2569007.0","19.3","1475.0","","","","","","","","","","","","","","","6.25","-75.58333","geonames",""
"05002","Antioquia","Abejorral","Antioquia","17599.0","14.7","2167.0","","","","","","","","","","","","","","","5.78928","-75.42725","geonames",""
"05004","Antioquia","Abriaquí","Antioquia","2690.0","15.5","2002.0","","","","","","","","","","","","","","","6.63471","-76.08879","geonames",""
"05021","Antioquia","Alejandría","Antioquia","3816.0","18.2","1447.0","","","","","","","","","","","","","","","6.36667","-75.08333","geonames",""
"05030","Antioquia","Amagá","Antioquia","29555.0","19.1","1434.0","","","","","","","","","","","","","","","6.04027","-75.7078","geonames",""
"05031","Antioquia","Amalfi","Antioquia","22088.0","20.0","1082.0","","","","","","","","","","","","","","","7.02612","-74.96791","geonames",""
"05034","Antioquia","Andes","Antioquia","45814.0","18.1","1529.0","","","","","","","","","","","","","","","5.66974","-75.89905","geonames",""
"05036","Antioquia","Angelópolis","Antioquia","8946.0","17.6","1591.0","","","","","","","","","","","","","","","6.12228","-75.71432","geonames",""
"05038","Antioquia","Angostura","Antioquia","10500.0","16.2","1842.0","","","","","","","","","","","","","","","6.8712","-75.35947","geonames",""
"05040","Antioquia","Anorí","Antioquia","14502.0","17.1","1584.0","","","","","","","","","","","","","","","7.07415","-75.14717","geonames",""
"05042","Antioquia","Santafé de Antioquia","Antioquia","22903.0","18.9","1544.0","","","","","","","","","","","","","","","6.55","-75.9","geonames",""
"05044","Antioquia","Anza","Antioquia","7415.0","16.9","1726.0","","","","","","","","","","","","","","","6.33333","-75.91667","geonames",""
"05045","Antioquia","Apartadó","Antioquia","200931.0","23.8","239.0","","","","","","","","","","","","","","","7.90404","-76.57314","geonames",""
"05051","Antioquia","Arboletes","Antioquia","45710.0","25.2","65.0","","","","","","","","","","","","","","","8.60681","-76.41752","geonames",""
"05055","Antioquia","Argelia","Antioquia","20136.0","19.3","1295.0","","","","","","","","","","","","","","","2.31728","-77.257","geonames",""
"05059","Antioquia","Armenia","Antioquia","304314.0","17.6","1390.0","","","","","","","","","","","","","","","4.53656","-75.67263","geonames",""
"05079","Antioquia","Barbosa","Antioquia","53943.0","19.7","1297.0","","","","","","","","","","","","","","","6.43809","-75.33136","geonames",""
"05086","Antioquia","Belmira","Antioquia","6188.0","8.8","3251.0","","","","","","","","","","","","","","","6.66667","-75.66667","geonames",""
"05088","Antioquia","Bello","Antioquia","392939.0","19.3","1456.0","","","","","","","","","","","","","","","6.33732","-75.55795","geonames",""
"05091","Antioquia","Betania","Antioquia","9286.0","18.7","1537.0","","","","","","","","","","","","","","","5.73571","-75.98964","geonames",""
"05093","Antioquia","Betulia","Antioquia","15097.0","18.2","1631.0","","","","","","","","","","","","","","","6.11284","-75.98378","geonames",""
"05101","Antioquia","Ciudad Bolívar","Antioquia","28279.0","20.2","1247.0","","","","","","","","","","","","","","","5.83945","-76.01088","geonames",""
"05107","Antioquia","Briceño","Antioquia","8783.0","18.9","1363.0","","","","","","","","","","","","","","","7.05001","-75.50903","geonames",""
"05113","Antioquia","Buriticá","Antioquia","6955.0","16.8","1685.0","","","","","","","","","","","","","","","6.80549","-75.92093","geonames",""
"05120","Antioquia","Cáceres","Antioquia","28945.0","25.1","83.0","","","","","","","","","","","","","","","7.68252","-75.22481","geonames",""
"05125","Antioquia","Caicedo","Antioquia","7686.0","14.8","2173.0","","","","","","","","","","","","","","","6.42805","-75.99715","geonames",""
"05129","Antioquia","Caldas","Antioquia","82234.0","17.0","1756.0","","","","","","","","","","","","","","","6.09106","-75.63569","geonames",""
"05134","Antioquia","Campamento","Antioquia","9688.0","18.0","1385.0","","","","","","","","","","","","","","","7.0391","-75.28938","geonames",""
"05138","Antioquia","Cañasgordas","Antioquia","13595.0","19.7","1291.0","","","","","","","","","","","","","","","6.74989","-76.02539","geonames",""
"05142","Antioquia","Caracolí","Antioquia","4855.0","22.6","657.0","","","","","","","","","","","","","","","6.32649","-74.74194","geonames",""
"05145","Antioquia","Caramanta","Antioquia","5510.0","14.0","2378.0","","","","","","","","","","","","","","","5.54144","-75.66961","geonames",""
"05147","Antioquia","Carepa","Antioquia","43125.0","25.1","32.0","","","","","","","","","","","","","","","7.76009","-76.66269","geonames",""
"05148","Antioquia","El Carmen de Viboral","Antioquia","41012.0","13.4","2375.0","","","","","","","","","","","","","","","5.9781","-75.26322","geonames",""
"05150","Antioquia","Carolina","Antioquia","3971.0","15.5","2071.0","","","","","","","","","","","","","","","6.74807","-75.32131","geonames",""
"05154","Antioquia","Caucasia","Antioquia","123304.0","25.4","60.0","","","","","","","","","","","","","","","7.86695","-75.02858","geonames",""
"05172","Antioquia","Chigorodó","Antioquia","86239.0","25.2","35.0","","","","","","","","","","","","","","","7.66638","-76.68106","geonames",""
"05190","Antioquia","Cisneros","Antioquia","9058.0","19.5","1248.0","","","","","","","","","","","","","","","6.54507","-75.09415","geonames",""
"05197","Antioquia","Cocorná","Antioquia","14743.0","18.9","1304.0","","","","","","","","","","","","","","","6.0573","-75.18524","geonames",""
"05206","Antioquia","Concepción","Antioquia","5908.0","9.3","3172.0","","","","","","","","","","","","","","","6.7702","-72.63437","geonames",""
"05209","Antioquia","Concordia","Antioquia","16095.0","16.0","2000.0","","","","","","","","","","","","","","","6.04639","-75.90705","geonames",""
"05212","Antioquia","Copacabana","Antioquia","61234.0","19.2","1449.0","","","","","","","","","","","","","","","6.3623","-75.49922","geonames",""
"05234","Antioquia","Dabeiba","Antioquia","22717.0","23.6","488.0","","","","","","","","","","","","","","","7.00017","-76.26915","geonames",""
"05237","Antioquia","Don Matías","Antioquia","17701.0","13.9","2281.0","","","","","","","","","","","","","","","6.50559","-75.36645","geonames",""
"05240","Antioquia","Ebéjico","Antioquia","10338.0","20.7","1159.0","","","","","","","","","","","","","","","6.32598","-75.76835","geonames",""
"05250","Antioquia","El Bagre","Antioquia","51150.0","25.5","51.0","","","","","","","","","","","","","","","7.60347","-74.80951","geonames",""
"05264","Antioquia","Entrerrios","Antioquia","8820.0","14.2","2312.0","","","","","","","","","","","","","","","6.5654","-75.5169","geonames",""
"05266","Antioquia","Envigado","Antioquia","174108.0","13.2","2444.0","","","","","","","","","","","","","","","6.15336","-75.54497","geonames",""
"05282","Antioquia","Fredonia","Antioquia","18790.0","18.7","1476.0","","","","","","","","","","","","","","","5.89239","-75.68546","geonames",""
"05284","Antioquia","Frontino","Antioquia","20156.0","18.8","1389.0","","","","","","","","","","","","","","","6.77133","-76.13324","geonames",""
"05306","Antioquia","Giraldo","Antioquia","4188.0","13.3","2435.0","","","","","","","","","","","","","","","6.66667","-75.95346","geonames",""
"05308","Antioquia","Girardota","Antioquia","60611.0","19.2","1471.0","","","","","","","","","","","","","","","6.36789","-75.46231","geonames",""
"05310","Antioquia","Gómez Plata","Antioquia","11252.0","17.0","1877.0","","","","","","","","","","","","","","","6.69847","-75.2055","geonames",""
"05313","Antioquia","Granada","Antioquia","68876.0","25.3","336.0","","","","","","","","","","","","","","","3.54625","-73.70687","geonames",""
"05315","Antioquia","Guadalupe","Antioquia","15913.0","22.7","889.0","","","","","","","","","","","","","","","2.0248","-75.75589","geonames",""
"05318","Antioquia","Guarne","Antioquia","52129.0","14.6","2149.0","","","","","","","","","","","","","","","6.28345","-75.44363","geonames",""
"05321","Antioquia","Guatapé","Antioquia","5838.0","16.7","1881.0","","","","","","","","","","","","","","","6.25548","-75.16432","geonames",""
"05347","Antioquia","Heliconia","Antioquia","6656.0","17.7","1554.0","","","","","","","","","","","","","","","6.21689","-75.74452","geonames",""
"05353","Antioquia","Hispania","Antioquia","4821.0","22.0","903.0","","","","","","","","","","","","","","","5.79555","-75.9041","geonames",""
"05360","Antioquia","Itagui","Antioquia","281853.0","18.6","1538.0","","","","","","","","","","","","","","","6.18461","-75.59913","geonames",""
"05361","Antioquia","Ituango","Antioquia","23784.0","17.4","1623.0","","","","","","","","","","","","","","","7.17117","-75.76404","geonames",""
"05364","Antioquia","Jardín","Antioquia","13541.0","17.1","1844.0","","","","","","","","","","","","","","","5.59038","-75.81846","geonames",""
"05368","Antioquia","Jericó","Antioquia","12789.0","16.5","1828.0","","","","","","","","","","","","","","","5.78054","-75.76096","geonames",""
"05376","Antioquia","La Ceja","Antioquia","36584.0","15.1","2153.0","","","","","","","","","","","","","","","6.03131","-75.43333","geonames",""
"05380","Antioquia","La Estrella","Antioquia","67254.0","15.9","1992.0","","","","","","","","","","","","","","","6.14239","-75.65257","geonames",""
"05390","Antioquia","La Pintada","Antioquia","7066.0","23.2","694.0","","","","","","","","","","","","","","","5.7508","-75.60023","geonames",""
"05400","Antioquia","La Unión","Antioquia","41013.0","21.1","967.0","","","","","","","","","","","","","","","4.53282","-76.10318","geonames",""
"05411","Antioquia","Liborina","Antioquia","9475.0","16.4","2011.0","","","","","","","","","","","","","","","6.73043","-75.7821","geonames",""
"05425","Antioquia","Maceo","Antioquia","7630.0","21.3","833.0","","","","","","","","","","","","","","","6.54463","-74.73277","geonames",""
"05440","Antioquia","Marinilla","Antioquia","57403.0","15.3","2085.0","","","","","","","","","","","","","","","6.17358","-75.33621","geonames",""
"05467","Antioquia","Montebello","Antioquia","7523.0","15.7","1983.0","","","","","","","","","","","","","","","5.93703","-75.52741","geonames",""
"05475","Antioquia","Murindó","Antioquia","3736.0","24.8","36.0","","","","","","","","","","","","","","","6.84698","-76.71544","geonames",""
"05480","Antioquia","Mutatá","Antioquia","12607.0","24.8","132.0","","","","","","","","","","","","","","","7.24407","-76.43564","geonames",""
"05483","Antioquia","Nariño","Antioquia","15579.0","18.9","1366.0","","","","","","","","","","","","","","","5.59687","-75.19329","geonames",""
"05490","Antioquia","Necoclí","Antioquia","70824.0","26.0","13.0","","","","","","","","","","","","","","","8.42958","-76.77109","geonames",""
"05495","Antioquia","Nechí","Antioquia","24066.0","25.9","31.0","","","","","","","","","","","","","","","8.09419","-74.77573","geonames",""
"05501","Antioquia","Olaya","Antioquia","2916.0","23.9","625.0","","","","","","","","","","","","","","","6.60351","-75.78612","geonames",""
"05541","Antioquia","Peñol","Antioquia","16241.0","16.6","1881.0","","","","","","","","","","","","","","","6.23434","-75.22573","geonames",""
"05543","Antioquia","Peque","Antioquia","7155.0","19.8","1204.0","","","","","","","","","","","","","","","7.02123","-75.90926","geonames",""
"05576","Antioquia","Pueblorrico","Antioquia","8294.0","16.0","1894.0","","","","","","","","","","","","","","","5.8","-75.85","geonames",""
"05579","Antioquia","Puerto Berrío","Antioquia","51079.0","25.8","110.0","","","","","","","","","","","","","","","6.49156","-74.40326","geonames",""
"05585","Antioquia","Puerto Nare","Antioquia","12161.0","25.6","125.0","","","","","","","","","","","","","","","6.19167","-74.5867","geonames",""
"05591","Antioquia","Puerto Triunfo","Antioquia","17231.0","25.6","156.0","","","","","","","","","","","","","","","5.87259","-74.6405","geonames",""
"05604","Antioquia","Remedios","Antioquia","29199.0","23.0","530.0","","","","","","","","","","","","","","","7.02192","-74.54821","geonames",""
"05607","Antioquia","Retiro","Antioquia","20700.0","15.1","2166.0","","","","","","","","","","","","","","","6.05861","-75.50306","geonames",""
"05615","Antioquia","Rionegro","Antioquia","128153.0","15.4","2090.0","","","","","","","","","","","","","","","6.15515","-75.37371","geonames",""
"05628","Antioquia","Sabanalarga","Antioquia","102334.0","26.2","97.0","","","","","","","","","","","","","","","10.63072","-74.92214","geonames",""
"05631","Antioquia","Sabaneta","Antioquia","82375.0","17.9","1592.0","","","","","","","","","","","","","","","6.15153","-75.61657","geonames",""
"05642","Antioquia","Salgar","Antioquia","15782.0","20.4","1209.0","","","","","","","","","","","","","","","5.96502","-75.96541","geonames",""
"05647","Antioquia","San Andrés de Cuerquía","Antioquia","7367.0","17.0","1808.0","","","","","","","","","","","","","","","6.91667","-75.66667","geonames",""
"05649","Antioquia","San Carlos","Antioquia","23622.0","25.6","35.0","","","","","","","","","","","","","","","8.7104","-75.68959","geonames",""
"05652","Antioquia","San Francisco","Antioquia","8304.0","15.3","1972.0","","","","","","","","","","","","","","","4.96335","-74.26613","geonames",""
"05656","Antioquia","San Jerónimo","Antioquia","13158.0","23.2","728.0","","","","","","","","","","","","","","","6.44344","-75.72815","geonames",""
"05658","Antioquia","San José de La Montaña","Antioquia","3103.0","10.6","2931.0","","","","","","","","","","","","","","","6.82205","-75.69757","geonames",""
"05659","Antioquia","San Juan de Urabá","Antioquia","20899.0","25.5","46.0","","","","","","","","","","","","","","","8.67161","-76.50514","geonames",""
"05660","Antioquia","San Luis","Antioquia","19262.0","24.7","538.0","","","","","","","","","","","","","","","4.16667","-75.08333","geonames",""
"05664","Antioquia","San Pedro","Antioquia","16415.0","25.9","144.0","","","","","","","","","","","","","","","9.39917","-75.035","geonames",""
"05665","Antioquia","San Pedro de Uraba","Antioquia","30527.0","24.7","141.0","","","","","","","","","","","","","","","8.27515","-76.37641","geonames",""
"05667","Antioquia","San Rafael","Antioquia","12578.0","18.7","1385.0","","","","","","","","","","","","","","","6.31234","-75.02426","geonames",""
"05670","Antioquia","San Roque","Antioquia","18157.0","20.6","1033.0","","","","","","","","","","","","","","","6.44421","-74.95246","geonames",""
"05674","Antioquia","San Vicente","Antioquia","18051.0","14.6","2140.0","","","","","","","","","","","","","","","6.28535","-75.33385","geonames",""
"05679","Antioquia","Santa Bárbara","Antioquia","22030.0","18.2","1507.0","","","","","","","","","","","","","","","5.88937","-75.58255","geonames",""
"05686","Antioquia","Santa Rosa de Osos","Antioquia","37864.0","12.6","2586.0","","","","","","","","","","","","","","","6.64738","-75.46031","geonames",""
"05690","Antioquia","Santo Domingo","Antioquia","12394.0","15.4","1968.0","","","","","","","","","","","","","","","6.47282","-75.16547","geonames",""
"05697","Antioquia","El Santuario","Antioquia","27120.0","14.4","2156.0","","","","","","","","","","","","","","","6.13568","-75.25705","geonames",""
"05736","Antioquia","Segovia","Antioquia","39938.0","22.2","680.0","","","","","","","","","","","","","","","7.07993","-74.6989","geonames",""
"05756","Antioquia","Sonson","Antioquia","33598.0","13.6","2493.0","","","","","","","","","","","","","","","5.71062","-75.31069","geonames",""
"05761","Antioquia","Sopetrán","Antioquia","13748.0","23.0","739.0","","","","","","","","","","","","","","","6.52271","-75.74608","geonames",""
"05789","Antioquia","Támesis","Antioquia","16387.0","17.2","1823.0","","","","","","","","","","","","","","","5.67053","-75.72153","geonames",""
"05790","Antioquia","Tarazá","Antioquia","48926.0","24.5","275.0","","","","","","","","","","","","","","","7.49302","-75.5049","geonames",""
"05792","Antioquia","Tarso","Antioquia","7155.0","20.6","1155.0","","","","","","","","","","","","","","","5.8812","-75.83098","geonames",""
"05809","Antioquia","Titiribí","Antioquia","8316.0","18.2","1540.0","","","","","","","","","","","","","","","6.06276","-75.7937","geonames",""
"05819","Antioquia","Toledo","Antioquia","17272.0","13.7","2092.0","","","","","","","","","","","","","","","7.23217","-72.31127","geonames",""
"05837","Antioquia","Turbo","Antioquia","163525.0","25.6","1.0","","","","","","","","","","","","","","","8.09539","-76.73345","geonames",""
"05842","Antioquia","Uramita","Antioquia","8304.0","21.5","880.0","","","","","","","","","","","","","","","6.91662","-76.13082","geonames",""
"05847","Antioquia","Urrao","Antioquia","38923.0","14.1","2173.0","","","","","","","","","","","","","","","6.19","-76.08","geonames",""
"05854","Antioquia","Valdivia","Antioquia","11511.0","24.4","234.0","","","","","","","","","","","","","","","7.29382","-75.3919","geonames",""
"05856","Antioquia","Valparaíso","Antioquia","11100.0","24.9","231.0","","","","","","","","","","","","","","","1.05706","-75.75969","geonames",""
"05858","Antioquia","Vegachí","Antioquia","11293.0","21.0","982.0","","","","","","","","","","","","","","","6.81666","-74.78697","geonames",""
"05861","Antioquia","Venecia","Antioquia","10280.0","20.2","1308.0","","","","","","","","","","","","","","","5.96278","-75.73806","geonames",""
"05873","Antioquia","Vigía del Fuerte","Antioquia","5624.0","24.6","12.0","","","","","","","","","","","","","","","6.58933","-76.89599","geonames",""
"05885","Antioquia","Yalí","Antioquia","7734.0","20.7","968.0","","","","","","","","","","","","","","","6.70257","-74.79018","geonames",""
"05887","Antioquia","Yarumal","Antioquia","41240.0","13.2","2424.0","","","","","","","","","","","","","","","6.98532","-75.45402","geonames",""
"05890","Antioquia","Yolombó","Antioquia","23958.0","19.0","1378.0","","","","","","","","","","","","","","","6.66569","-74.9912","geonames",""
"05893","Antioquia","Yondó","Antioquia","17597.0","25.9","72.0","","","","","","","","","","","","","","","7.00621","-73.90972","geonames",""
"05895","Antioquia","Zaragoza","Antioquia","24067.0","25.3","66.0","","","","","","","","","","","","","","","7.48971","-74.86919","geonames",""
"08001","Atlántico","Barranquilla","Caribe","1206319.0","26.8","24.0","","","","","","","","","","","","","","","10.96854","-74.78132","geonames",""
"08078","Atlántico","Baranoa","Caribe","68383.0","26.0","120.0","","","","","","","","","","","","","","","10.79408","-74.9164","geonames",""
"08137","Atlántico","Campo de La Cruz","Caribe","22810.0","27.0","9.0","","","","","","","","","","","","","","","10.37808","-74.88356","geonames",""
"08141","Atlántico","Candelaria","Caribe","87811.0","20.7","957.0","","","","","","","","","","","","","","","3.38367","-76.42466","geonames",""
"08296","Atlántico","Galapa","Caribe","32012.0","26.1","89.0","","","","","","","","","","","","","","","10.8979","-74.887","geonames",""
"08372","Atlántico","Juan de Acosta","Caribe","18828.0","26.0","51.0","","","","","","","","","","","","","","","10.8293","-75.03346","geonames",""
"08421","Atlántico","Luruaco","Caribe","27647.0","26.4","28.0","","","","","","","","","","","","","","","10.61712","-75.15146","geonames",""
"08433","Atlántico","Malambo","Caribe","129148.0","26.7","17.0","","","","","","","","","","","","","","","10.85953","-74.77386","geonames",""
"08436","Atlántico","Manatí","Caribe","19233.0","27.1","12.0","","","","","","","","","","","","","","","10.44589","-74.95869","geonames",""
"08520","Atlántico","Palmar de Varela","Caribe","27098.0","26.9","12.0","","","","","","","","","","","","","","","10.74055","-74.75443","geonames",""
"08549","Atlántico","Piojó","Caribe","5017.0","25.5","190.0","","","","","","","","","","","","","","","10.74613","-75.13797","geonames",""
"08558","Atlántico","Polonuevo","Caribe","19454.0","26.0","86.0","","","","","","","","","","","","","","","10.77697","-74.85344","geonames",""
"08560","Atlántico","Ponedera","Caribe","23420.0","26.9","15.0","","","","","","","","","","","","","","","10.64297","-74.75393","geonames",""
"08573","Atlántico","Puerto Colombia","Caribe","27837.0","26.7","25.0","","","","","","","","","","","","","","","11.00854","-74.90887","geonames",""
"08606","Atlántico","Repelón","Caribe","25467.0","26.7","13.0","","","","","","","","","","","","","","","10.4952","-75.12448","geonames",""
"08634","Atlántico","Sabanagrande","Caribe","35044.0","27.0","9.0","","","","","","","","","","","","","","","10.79115","-74.76059","geonames",""
"08638","Atlántico","Sabanalarga","Caribe","102334.0","26.2","97.0","","","","","","","","","","","","","","","10.63072","-74.92214","geonames",""
