codigo_dane,nombre,municipio,departamento,regla,status,date_start,date_end
"15693","Fiestas de Santa Rosa de Viterbo","Santa Rosa de Viterbo","Boyacá","sin_regla","pendiente","",""
"15696","Fiestas de Santa Sofía","Santa Sofía","Boyacá","sin_regla","pendiente","",""
"15720","Fiestas de Sativanorte","Sativanorte","Boyacá","sin_regla","pendiente","",""
"15723","Fiestas de Sativasur","Sativasur","Boyacá","sin_regla","pendiente","",""
"15740","Fiestas de Siachoque","Siachoque","Boyacá","sin_regla","pendiente","",""
"15753","Fiestas de Soatá","Soatá","Boyacá","sin_regla","pendiente","",""
"15757","Fiestas de Socha","Socha","Boyacá","sin_regla","pendiente","",""
"15755","Fiestas de Socotá","Socotá","Boyacá","sin_regla","pendiente","",""
"15759","Fiestas de Sogamoso","Sogamoso","Boyacá","sin_regla","pendiente","",""
"15761","Fiestas de Somondoco","Somondoco","Boyacá","sin_regla","pendiente","",""
"15762","Fiestas de Sora","Sora","Boyacá","sin_regla","pendiente","",""
"15764","Fiestas de Soracá","Soracá","Boyacá","sin_regla","pendiente","",""
"15763","Fiestas de Sotaquirá","Sotaquirá","Boyacá","sin_regla","pendiente","",""
"15774","Fiestas de Susacón","Susacón","Boyacá","sin_regla","pendiente","",""
"15776","Fiestas de Sutamarchán","Sutamarchán","Boyacá","sin_regla","pendiente","",""
"15778","Fiestas de Sutatenza","Sutatenza","Boyacá","sin_regla","pendiente","",""
"15790","Fiestas de Tasco","Tasco","Boyacá","sin_regla","pendiente","",""
"15798","Fiestas de Tenza","Tenza","Boyacá","sin_regla","pendiente","",""
"15804","Fiestas de Tibaná","Tibaná","Boyacá","sin_regla","pendiente","",""
"15806","Fiestas de Tibasosa","Tibasosa","Boyacá","sin_regla","pendiente","",""
"15808","Fiestas de Tinjacá","Tinjacá","Boyacá","sin_regla","pendiente","",""
"15810","Fiestas de Tipacoque","Tipacoque","Boyacá","sin_regla","pendiente","",""
"15814","Fiestas de Toca","Toca","Boyacá","sin_regla","pendiente","",""
